Estadisticos,EDAD_ACTUAL,PROM_NOTAS_E_MEDIA,PUNTAJE_NEM,PUNTAJE_RANKING,PTJE_LENGUAJE,PTJE_MATEMATICA,PTJE_HIST_CS_SOCIALES,PTJE_CIENCIAS,PROM_LENG_Y_MAT,PTJE_PONDERADO,INGRESO_BRUTO_FAMILIAR,PROMEDIO_PRIMER_ANNIO,PROMEDIO_ALUMNO_EN_CARRERA,CANT_RAMOS_INSCRITOS_CARRERA,CANT_RAMOS_APROBADOS_CARRERA,PORCENTAJE_AVANCE_CARRERA,CANT_DEUDAS_DISTINTAS_EN_EL_ANNIO,CANT_RETIROS_TEMPORALES,CANT_RAMOS_OP2,CANT_RAMOS_OP3,CANT_RAMOS_OP4
promedio,22.608763693270735,5.838253424657534,606.2089041095891,637.6541095890411,520.652397260274,525.8356164383562,217.81164383561645,426.7054794520548,522.8638698630137,524.6335616438356,5.67479674796748,4.9602755267423015,4.892599388379205,29.928134556574925,26.78440366972477,47.828914373088686,0.03216106014271152,0.025509683995922527,1.415902140672783,0.1620795107033639,0.035168195718654434
mediana,22,6,626.5,659.5,532,543,0,511,537,577,6,5.26,5.325,31,25,44.64,0,0,0,0,0
des.Estandar,2.8039914797242655,0.5637409026366419,104.49463874318955,129.57238107901466,123.12185903661029,123.64763620980044,269.0020222233347,225.75573611416607,118.75615667098116,215.16275535094098,2.8762555850938734,1.0665873278160958,1.3614880051311549,16.804507085395034,16.504238673970953,29.4713198588972,0.12721537697146904,0.12094518925312094,2.5442108015976808,0.5023978824193874,0.20027214064679857
min,19,0,374,374,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
max,39,6.9,829,850,773,727,850,727,728,914,12,6.38,6.43,63,59,105.36,1,1,25,3,2
1rd.qt,21,5.43,517,522.25,473,493,0,381.25,486,500.75,3,4.52,4.302499999999999,12,12,21.43,0,0,0,0,0
3rd.qt,24,6.2575,693,748,588,601,496,588,589.125,655,8,5.68,5.89,44,42,75,0,0,2,0,0
RIC,3,0.8275000000000006,176,225.75,115,108,496,206.75,103.125,154.25,5,1.1600000000000001,1.5875000000000004,32,30,53.57,0,0,2,0,0
asimetria,1.9540730985253758,-2.1056860207963557,-0.2615268438811273,-0.14999766242576143,-2.0596172086239073,-2.3774091098485846,0.5618839477114944,-1.0854572269827973,-2.541352818725375,-1.5965277048788749,0.11512858300855046,-1.6519816352125913,-1.6103803467625353,0.0811811252529033,0.13763488084119696,0.1376053216527793,5.039192943556838,6.035295821717616,2.8046025394726968,3.6062612711449624,6.13095342990224
curtosis,6.892917437410967,18.13529046804542,-1.0564310110298656,-1.2151192853200399,6.990804586054999,7.736535365226663,-1.398816067661663,-0.290949862117452,9.076387450714313,1.6477240179090842,-1.1533799769139892,3.0443836770446744,2.6967275703788127,-1.228319387154299,-1.1677874470602843,-1.1678386909978204,28.549980125730947,40.50172012798131,13.144546695932974,13.936975311795067,40.98204130487876
C.V,0.12402232681828793,0.09655985474280955,0.17237397543124713,0.20320167176923268,0.17237397543124713,0.23514503838158266,1.2350213123883858,0.5290668786444124,0.22712633921730782,0.4101200744320874,0.506847330897631,0.21502582307490992,0.2782749816723052,0.5614953064858914,0.6161883937190731,0.6161820782509642,3.955571626276105,4.741148078214252,1.7968832227266556,3.099700142474334,5.6946947818698375
"NA",639,584,584,584,584,584,584,584,584,584,492,617,654,654,654,654,654,654,654,654,654
