Estadisticos,EDAD_ACTUAL,PROM_NOTAS_E_MEDIA,PUNTAJE_NEM,PUNTAJE_RANKING,PTJE_LENGUAJE,PTJE_MATEMATICA,PTJE_HIST_CS_SOCIALES,PTJE_CIENCIAS,PROM_LENG_Y_MAT,PTJE_PONDERADO,INGRESO_BRUTO_FAMILIAR,PROMEDIO_PRIMER_ANNIO,PROMEDIO_ALUMNO_EN_CARRERA,CANT_RAMOS_INSCRITOS_CARRERA,CANT_RAMOS_APROBADOS_CARRERA,PORCENTAJE_AVANCE_CARRERA,CANT_DEUDAS_DISTINTAS_EN_EL_ANNIO,CANT_RETIROS_TEMPORALES,CANT_RAMOS_OP2,CANT_RAMOS_OP3,CANT_RAMOS_OP4
promedio,22.327759197324415,6.145743944636679,673.5467128027682,719.6885813148789,559.8581314878893,561.3979238754325,105.39100346020761,553.159169550173,560.5882352941177,586.9342560553633,6.056,5.501392857142857,5.619735099337748,31.36092715231788,30.632450331125828,54.70009933774834,0.01903973509933775,0.021247240618101546,0.7019867549668874,0.039735099337748346,0.016556291390728478
mediana,22,6.2,686,732,580,591,0,582,585.5,645,6,5.64,5.915,33,33,58.93,0,0,0,0,0
des.Estandar,2.704631621917459,0.4940151013067395,66.98143449704413,87.32860142075644,123.65665929004518,121.11291274906912,234.70414899969307,124.40830344464402,116.74392531186461,208.34056446504786,2.932449666094323,0.7314471265057564,1.1259225509439255,16.494603863464434,16.300969335745044,29.10799556200907,0.09098775814973832,0.12467080588159947,1.8292372717889078,0.21196109158366527,0.12781343524602526
min,19,0,420,420,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
max,39,6.9,829,850,766,727,850,727,728,914,12,6.38,6.43,59,59,105.36,1,1,9,2,1
1rd.qt,21,6,640,671,522,529,0,521,533,613,4,5.335,5.7124999999999995,13,12.75,22.769999999999996,0,0,0,0,0
3rd.qt,23,6.4,717,783,630,629,0,621,623,678,9,5.902500000000001,6.08,44,44,78.57,0,0,0,0,0
RIC,2,0.40000000000000036,77,112,108,100,0,100,90,65,5,0.5675000000000008,0.3675000000000006,31,31.25,55.8,0,0,0,0,0
asimetria,2.8819009010352055,-6.886531252435524,-0.7098393915553629,-0.6904089790172945,-2.5631509782922706,-2.843114191875197,1.9005104141462916,-2.7318101815172566,-3.079767384489465,-2.195875742324906,-0.10909638966798463,-3.335330037573244,-3.7273288100547903,-0.07711563091713816,-0.08213145281632077,-0.08217874482255598,6.684565165039588,6.838042141871381,3.172563252135856,5.691768986916905,7.539784854379868
curtosis,13.079408741314197,80.8367240428264,0.5720231308339732,0.08429364385700344,9.233723470496102,10.351894071258416,1.9664797741774604,9.581431126145228,12.142440474938676,3.662416173972458,-1.1519934936139695,14.815739740320389,14.274495742740239,-1.1497075720889223,-1.0782112012086666,-1.0782333470747927,55.36409624757151,48.656192552797854,9.544679503962449,35.17283372298855,55.030609067149136
C.V,0.12113314184441584,0.08038328732160423,0.09944586355164653,0.12134220784940916,0.09944586355164653,0.21573452198220566,2.2269846694107063,0.22490507306570076,0.20825254252903444,0.35496405656274366,0.4842222037804364,0.13295671578081641,0.20035153455482424,0.5259603385879272,0.5321470910598858,0.5321378921504398,4.7788352976036474,5.867623383310604,2.6058002645294818,5.3343541381889095,7.719931488859925
"NA",299,289,289,289,289,289,289,289,289,289,250,280,302,302,302,302,302,302,302,302,302
