Estadisticos,EDAD_POR_ANNIO_MATRICULA_2017,PROM_NOTA_SEM1_2017,PROM_NOTA_SEM2_2017,PROMEDIO_ANUAL_2017,NUMEROCURSOSINSCRITOS_S1_2017,NUMEROCURSOSAPROBADOS_S1_2017,NUMEROCURSOSINSCRITOS_S2_2017,NUMEROCURSOSAPROBADOS_S2_2017,DEUDA_ARA_2017,DEUDA_COB_2017,DEUDA_CUA_2017,DEUDA_DAA_2017,DEUDA_MAT_2017,TOTAL_DEUDA_2017,CANT_COLACIONES_2017,CANT_ALMUERZOS_2017,CANT_CENAS_2017,EDAD_POR_ANNIO_MATRICULA_2018,PROM_NOTA_SEM1_2018,PROM_NOTA_SEM2_2018,PROMEDIO_ANUAL_2018,NUMEROCURSOSINSCRITOS_S1_2018,NUMEROCURSOSAPROBADOS_S1_2018,NUMEROCURSOSINSCRITOS_S2_2018,NUMEROCURSOSAPROBADOS_S2_2018,DEUDA_ARA_2018,DEUDA_COB_2018,DEUDA_CUA_2018,DEUDA_DAA_2018,DEUDA_MAT_2018,TOTAL_DEUDA_2018,CANT_COLACIONES_2018,CANT_ALMUERZOS_2018,CANT_CENAS_2018,EDAD_POR_ANNIO_MATRICULA_2019,PROM_NOTA_SEM1_2019,PROM_NOTA_SEM2_2019,PROMEDIO_ANUAL_2019,NUMEROCURSOSINSCRITOS_S1_2019,NUMEROCURSOSAPROBADOS_S1_2019,NUMEROCURSOSINSCRITOS_S2_2019,NUMEROCURSOSAPROBADOS_S2_2019,DEUDA_ARA_2019,DEUDA_COB_2019,DEUDA_CUA_2019,DEUDA_DAA_2019,DEUDA_MAT_2019,TOTAL_DEUDA_2019,CANT_COLACIONES_2019,CANT_ALMUERZOS_2019,CANT_CENAS_2019,EDAD_POR_ANNIO_MATRICULA_2020,PROM_NOTA_SEM1_2020,PROM_NOTA_SEM2_2020,PROMEDIO_ANUAL_2020,NUMEROCURSOSINSCRITOS_S1_2020,NUMEROCURSOSAPROBADOS_S1_2020,NUMEROCURSOSINSCRITOS_S2_2020,NUMEROCURSOSAPROBADOS_S2_2020,DEUDA_ARA_2020,DEUDA_COB_2020,DEUDA_CUA_2020,DEUDA_DAA_2020,DEUDA_MAT_2020,TOTAL_DEUDA_2020,CANT_COLACIONES_2020,CANT_ALMUERZOS_2020,CANT_CENAS_2020,EDAD_POR_ANNIO_MATRICULA_2021,PROM_NOTA_SEM1_2021,PROM_NOTA_SEM2_2021,PROMEDIO_ANUAL_2021,NUMEROCURSOSINSCRITOS_S1_2021,NUMEROCURSOSAPROBADOS_S1_2021,NUMEROCURSOSINSCRITOS_S2_2021,NUMEROCURSOSAPROBADOS_S2_2021,DEUDA_ARA_2021,DEUDA_COB_2021,DEUDA_CUA_2021,DEUDA_DAA_2021,DEUDA_MAT_2021,TOTAL_DEUDA_2021,CANT_COLACIONES_2021,CANT_ALMUERZOS_2021,CANT_CENAS_2021
promedio,19.586666666666666,4.962753623188406,5.473968253968254,5.127536231884058,5.521739130434782,4.956521739130435,6.161290322580645,5.870967741935484,11520,0,0,33658.73333333333,677990.84,723169.5733333334,0,5.973333333333334,0,20.586666666666666,5.901538461538461,5.607230769230769,5.7553846153846155,6.883333333333334,6.783333333333333,5.533333333333333,5.433333333333334,7893.333333333333,0,0,23798.013333333332,548269.48,579960.8266666667,0,3.64,0,21.586666666666666,5.647384615384615,5.76015625,5.7,5.84375,5.671875,6.90625,6.828125,4186.666666666667,0,0,24667.04,450673.08,479526.7866666667,0,8.933333333333334,0,22.586666666666666,6.26828125,6.2271875,6.2478125,5.890625,5.875,5.28125,5.21875,1098.76,0,0,7585.2,139786,148469.96,0,0,0,23.586666666666666,6.39265625,5.81765625,6.1053125,3.109375,3.0625,2.984375,2.90625,0,0,0,10089.826666666666,286130.2266666667,296220.05333333334,0,0,0
mediana,19,5.2,5.58,5.42,6,6,6,6,0,0,0,0,0,0,0,0,0,20,5.99,5.67,5.8,7,7,5,5,0,0,0,0,0,0,0,0,0,21,5.72,5.795,5.74,6,6,7,7,0,0,0,0,0,0,0,0,0,22,6.3,6.26,6.28,6,6,5,5,0,0,0,0,0,0,0,0,0,23,6.484999999999999,5.915,6.155,3,3,3,3,0,0,0,0,0,0,0,0,0
des.Estandar,2.3543710546689667,0.9365878057168808,0.7499323403514258,0.9596788767405808,1.3016809906941589,1.666581412994309,0.7932822123490495,1.0633055629751187,39329.2958685191,0,0,229864.18538864944,1169386.421771842,1172949.4244807896,0,25.610372335660628,0,2.3543710546689667,0.392791415580644,0.3701119243397347,0.3617452354691287,0.8252717408997376,0.9404590777041595,0.7002824288999323,0.7890493457677391,53822.42407522476,0,0,98260.53070357634,1125181.7947709288,1124180.4908063135,0,18.528021145485763,0,2.3543710546689667,0.40300929317401035,0.43867221080408775,0.3754122733742199,0.47871355387816905,0.7570764046908889,0.9548331525488363,0.9352817672375443,36257.5969051085,0,0,118339.12837099354,1043894.0700253684,1049468.8173101987,0,44.28694314731299,0,2.3543710546689667,0.21119880566867086,0.35868130944618754,0.2507288977336481,0.8566673614968463,0.8451542547285166,0.863156812253534,0.8991839333705569,9515.540726621897,0,0,40833.54774023504,505858.78716671886,509117.0227050879,0,0,0,2.3543710546689667,0.3759231692336436,0.48618613650061726,0.3501653520974395,0.5379911930594439,0.46717659215115676,0.4175585692213234,0.4618372557445434,0,0,0,50293.80377755788,890655.4202465637,888860.4640781287,0,0,0
min,18,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,19,4.57,4.08,4.32,3,3,4,3,0,0,0,0,0,0,0,0,0,20,4.6,4.33,4.63,5,3,4,4,0,0,0,0,0,0,0,0,0,21,5.61,4.59,5.35,3,3,3,2,0,0,0,0,0,0,0,0,0,22,4.32,3.17,4.42,2,2,1,1,0,0,0,0,0,0,0,0,0
max,33,6.12,6.25,6.19,8,6,7,7,144000,0,0,1964400,4458091,4458091,0,163,0,34,6.44,6.39,6.42,9,9,7,7,444000,0,0,655000,3891967,3891967,0,110,0,35,6.32,6.47,6.36,8,8,9,8,314000,0,0,812067,4531600,4531600,0,242,0,36,6.62,6.75,6.68,7,7,7,7,82407,0,0,266759,2694783,2694783,0,0,0,37,6.77,6.3,6.53,5,5,4,4,0,0,0,341970,5001965,5001965,0,0,0
1rd.qt,18,4.9,5.36,5.05,6,4,6,6,0,0,0,0,0,0,0,0,0,19,5.79,5.5,5.67,7,7,5,5,0,0,0,0,0,0,0,0,0,20,5.37,5.5575,5.5,6,5.75,6,6,0,0,0,0,0,0,0,0,0,21,6.195,6.115,6.14,6,6,5,5,0,0,0,0,0,0,0,0,0,22,6.3,5.7,6.04,3,3,3,3,0,0,0,0,0,0,0,0,0
3rd.qt,20,5.43,5.859999999999999,5.65,6,6,6,6,0,0,0,0,790100,961500,0,0,0,21,6.14,5.8,5.98,7,7,6,6,0,0,0,0,183779.5,385750,0,0,0,22,5.98,6.092499999999999,5.96,6,6,7.25,7,0,0,0,0,0,313000,0,0,0,23,6.402500000000001,6.44,6.4125,6,6,6,6,0,0,0,0,0,0,0,0,0,24,6.57,6.07,6.302499999999999,3,3,3,3,0,0,0,0,0,9308,0,0,0
RIC,2,0.5299999999999994,0.4999999999999991,0.6000000000000005,0,2,0,0,0,0,0,0,790100,961500,0,0,0,2,0.34999999999999964,0.2999999999999998,0.3100000000000005,0,0,1,1,0,0,0,0,183779.5,385750,0,0,0,2,0.6100000000000003,0.5349999999999993,0.45999999999999996,0,0.25,1.25,1,0,0,0,0,0,313000,0,0,0,2,0.20750000000000046,0.3250000000000002,0.27249999999999996,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0.27000000000000046,0.3700000000000001,0.2624999999999993,0,0,0,0,0,0,0,0,0,9308,0,0,0
asimetria,3.417438714737623,-2.2504390331810695,-3.724815464996524,-2.4688879886112343,-2.3533683758233264,-1.8859354863510975,-4.162531160267433,-3.5307730057245594,3.0345623374236603,NA,NA,7.924553896938095,1.5318573256456671,1.4454197860039673,NA,5.126259545541858,NA,3.417438714737623,-1.557955112947335,-1.5040720675553831,-1.4288181219162952,-1.5668419914413485,-1.9730379077307514,0.6117201266804959,0.11414308828975259,7.325077575791705,NA,NA,4.888499646068951,1.9122260675902119,1.8913849236720421,NA,4.989638661238596,NA,3.417438714737623,-0.38738083904517223,-1.1797097778256393,-0.6835744035515222,0.4289505875982199,-1.1232329623962858,-0.7860351084807305,-1.1508442198146391,8.316923077766289,NA,NA,5.594131142648626,2.425841354721175,2.335622967999623,NA,4.674331979163619,NA,3.417438714737623,-1.1662470820233275,-1.9324577964316176,-1.2206685198754248,-1.1369274272406213,-1.164728207297737,0.315195369694536,-0.17403385802999888,8.316923077766294,NA,NA,5.478755155143816,4.0876382419727,3.972721775463394,NA,NA,NA,3.417438714737623,-3.4888258198727815,-3.210739656465868,-2.66084561277546,1.8998371742227722,2.0543957919224347,-1.3917737722818753,-2.247298306793432,NA,NA,NA,5.540235743191736,3.4929608783754027,3.482039054231086,NA,NA,NA
curtosis,14.162969157500338,6.024745557854157,18.223475529688837,6.752201297023529,5.198851381249796,2.8803463919095114,26.205745892652214,15.311432067751571,7.306519806763287,NA,NA,63.39462949534108,0.9190097186228519,0.6792351010683824,NA,26.53310656771658,NA,14.162969157500338,2.699317544577373,3.9392170781905733,2.907534332300191,6.954429451074025,6.775508409906422,-0.444329425839014,0.554359501999885,55.084730645165294,NA,NA,24.92215456267083,2.19856011320136,2.185924741740947,NA,24.021004858073063,NA,14.162969157500338,-0.5940810970688108,1.602257567265136,0.2240310498169653,5.25004237151343,2.802087196253339,1.1081707168562458,1.7730722642037735,68.07946666666665,NA,NA,31.41701203896377,5.13279167597198,4.7454723633807046,NA,20.335709707074905,NA,14.162969157500338,1.3538392082031203,6.002062367912789,1.9057881480974972,1.5158982198477844,1.6325097656249996,0.11687923794475141,1.548804020971926,68.07946666666672,NA,NA,29.446529386654902,16.30116444739062,15.549843535772439,NA,NA,NA,14.162969157500338,15.044528334213094,13.223145538296944,8.994561951492337,5.467664851140642,8.259231421100205,8.605062077516958,7.981297729558211,NA,NA,NA,30.682427620788104,12.160326014597869,12.123815780133858,NA,NA,NA
