Estadisticos,EDAD_POR_ANNIO_MATRICULA_2018,PROM_NOTA_SEM1_2018,PROM_NOTA_SEM2_2018,PROMEDIO_ANUAL_2018,NUMEROCURSOSINSCRITOS_S1_2018,NUMEROCURSOSAPROBADOS_S1_2018,NUMEROCURSOSINSCRITOS_S2_2018,NUMEROCURSOSAPROBADOS_S2_2018,DEUDA_ARA_2018,DEUDA_COB_2018,DEUDA_CUA_2018,DEUDA_DAA_2018,DEUDA_MAT_2018,TOTAL_DEUDA_2018,CANT_COLACIONES_2018,CANT_ALMUERZOS_2018,CANT_CENAS_2018,EDAD_POR_ANNIO_MATRICULA_2019,PROM_NOTA_SEM1_2019,PROM_NOTA_SEM2_2019,PROMEDIO_ANUAL_2019,NUMEROCURSOSINSCRITOS_S1_2019,NUMEROCURSOSAPROBADOS_S1_2019,NUMEROCURSOSINSCRITOS_S2_2019,NUMEROCURSOSAPROBADOS_S2_2019,DEUDA_ARA_2019,DEUDA_COB_2019,DEUDA_CUA_2019,DEUDA_DAA_2019,DEUDA_MAT_2019,TOTAL_DEUDA_2019,CANT_COLACIONES_2019,CANT_ALMUERZOS_2019,CANT_CENAS_2019,EDAD_POR_ANNIO_MATRICULA_2020,PROM_NOTA_SEM1_2020,PROM_NOTA_SEM2_2020,PROMEDIO_ANUAL_2020,NUMEROCURSOSINSCRITOS_S1_2020,NUMEROCURSOSAPROBADOS_S1_2020,NUMEROCURSOSINSCRITOS_S2_2020,NUMEROCURSOSAPROBADOS_S2_2020,DEUDA_ARA_2020,DEUDA_COB_2020,DEUDA_CUA_2020,DEUDA_DAA_2020,DEUDA_MAT_2020,TOTAL_DEUDA_2020,CANT_COLACIONES_2020,CANT_ALMUERZOS_2020,CANT_CENAS_2020,EDAD_POR_ANNIO_MATRICULA_2021,PROM_NOTA_SEM1_2021,PROM_NOTA_SEM2_2021,PROMEDIO_ANUAL_2021,NUMEROCURSOSINSCRITOS_S1_2021,NUMEROCURSOSAPROBADOS_S1_2021,NUMEROCURSOSINSCRITOS_S2_2021,NUMEROCURSOSAPROBADOS_S2_2021,DEUDA_ARA_2021,DEUDA_COB_2021,DEUDA_CUA_2021,DEUDA_DAA_2021,DEUDA_MAT_2021,TOTAL_DEUDA_2021,CANT_COLACIONES_2021,CANT_ALMUERZOS_2021,CANT_CENAS_2021
promedio,19.239436619718308,5.456333333333333,5.4475,5.453,5.833333333333333,5.633333333333334,6.116666666666666,5.8,0,0,0,3527.718309859155,703577.676056338,707105.3943661972,0,7.647887323943662,0,20.239436619718308,5.800655737704918,5.470833333333333,5.639344262295082,6.087719298245614,5.842105263157895,6.6909090909090905,6.581818181818182,0,0,0,7154.577464788732,313560.54929577466,320715.1267605634,0,15.154929577464788,0,21.239436619718308,6.269672131147541,6.234262295081967,6.251475409836066,5.084745762711864,5.016949152542373,6.220338983050848,6.101694915254237,4507.042253521126,0,0,13726.830985915492,201373.57746478874,219607.45070422534,0,0,0,22.239436619718308,6.2255,6.088474576271186,6.117,3.6166666666666667,3.533333333333333,3.847457627118644,3.7796610169491527,0,0,0,2282.2676056338028,250653.54929577466,252935.81690140846,0,0,0
mediana,19,5.505,5.575,5.525,6,6,6,6,0,0,0,0,0,0,0,0,0,20,6,5.605,5.79,6,6,7,7,0,0,0,0,0,0,0,0,0,21,6.42,6.36,6.38,5,5,6,6,0,0,0,0,0,0,0,0,0,22,6.4,6.23,6.295,4,4,3,3,0,0,0,0,0,0,0,0,0
des.Estandar,1.6165641583520312,0.3867113260786579,0.7006428646099334,0.4887940885658798,0.6152487898779873,0.7804098589988461,0.6402241838994506,0.9707589203071647,0,0,0,21047.773711374593,1248147.3216380551,1253060.4243987082,0,31.762555938692202,0,1.6165641583520312,0.6215863277466213,0.49386847788285465,0.4873358487821276,0.7141603900081841,1.0655225693830523,0.8360561577967708,0.9942596182849772,0,0,0,31052.897836094355,803187.2737365585,812907.1605238102,0,63.64626526745281,0,1.6165641583520312,0.4627417105798681,0.6022885770580784,0.4861475635564911,0.8155416138396309,0.9557723979485409,1.0515636404925022,1.2824399596652132,37977.0130622033,0,0,69605.15486452052,556117.2524598351,558174.8507929799,0,0,0,1.6165641583520312,0.8959143137751058,0.47981610543222175,0.8075455594011242,0.6402241838994506,0.8530437361701972,1.141891342769015,1.1152206617923661,0,0,0,18758.410086417807,639864.678631166,639232.5268861606,0,0,0
min,18,4.53,1,2.83,3,3,3,0,0,0,0,0,0,0,0,0,0,19,2.96,3.5,3.86,3,2,3,2,0,0,0,0,0,0,0,0,0,20,4.44,2.5,3.75,2,1,3,1,0,0,0,0,0,0,0,0,0,21,1.2,3.27,1.2,2,0,3,3,0,0,0,0,0,0,0,0,0
max,28,6.13,6.23,6.15,7,7,8,7,0,0,0,141468,4425000,4425000,0,161,0,29,6.51,6.14,6.24,7,7,7,7,0,0,0,178636,3369136,3369136,0,340,0,30,6.8,6.7,6.74,8,8,8,8,320000,0,0,460283,2694783,2694783,0,0,0,31,6.93,6.58,6.76,5,5,7,7,0,0,0,158068,2812812,2812812,0,0,0
1rd.qt,18,5.192500000000001,5.3675,5.3175,6,6,6,6,0,0,0,0,0,0,0,0,0,19,5.68,5.392500000000001,5.54,6,6,7,7,0,0,0,0,0,0,0,0,0,20,6.2,6.16,6.14,5,5,6,6,0,0,0,0,0,0,0,0,0,21,6.2,5.99,6.115,3,3,3,3,0,0,0,0,0,0,0,0,0
3rd.qt,19,5.75,5.7825,5.705,6,6,6,6,0,0,0,0,555000,555000,0,0,0,20,6.15,5.7524999999999995,5.95,6,6,7,7,0,0,0,0,0,0,0,0,0,21,6.55,6.53,6.53,5,5,7,7,0,0,0,0,0,0,0,0,0,22,6.557499999999999,6.3,6.422499999999999,4,4,4,4,0,0,0,0,0,1986.5,0,0,0
RIC,1,0.5574999999999992,0.41500000000000004,0.3875000000000002,0,0,0,0,0,0,0,0,555000,555000,0,0,0,1,0.47000000000000064,0.35999999999999854,0.41000000000000014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.34999999999999964,0.3700000000000001,0.39000000000000057,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.35749999999999904,0.3099999999999996,0.3074999999999992,1,1,1,1,0,0,0,0,0,1986.5,0,0,0
asimetria,2.855970370882901,-0.5559671087373022,-4.372917179877185,-2.7543751552376805,-2.9023300613029046,-1.596027447876461,-1.2422500965359937,-4.08387741665073,NA,NA,NA,5.73230172217036,1.5788200893802824,1.567914216420189,NA,3.9399782333168587,NA,2.855970370882901,-2.364392208294275,-2.3079623158074174,-1.792320690696371,-1.2790224219013746,-1.952870622017654,-2.7495588998601774,-2.6639393138651397,NA,NA,NA,4.358734942010254,2.6701908561656,2.6572933542003345,NA,4.0031630047328965,NA,2.855970370882901,-2.4166207312496644,-4.39132553904913,-3.210186121788066,0.03613926842934312,-0.8482223789308532,-0.9623993832131733,-1.584398989775987,8.073458322642692,NA,NA,5.441716600935732,3.0881029507830813,2.97230934676661,NA,NA,NA,2.855970370882901,-4.257406417093904,-4.002130899486921,-4.458003960199352,-0.24194361666564396,-1.551776952643463,1.1135106955739356,1.2380408864092414,NA,NA,NA,8.065716223939315,2.7771391985427663,2.775672420308856,NA,NA,NA
curtosis,11.056009261811209,-0.2485233846449182,24.479621978334805,11.766212805133335,8.7707015296651,1.6357956883208713,8.521484790387515,19.919300847092114,NA,NA,NA,31.864469430199655,1.0838460255975795,1.0316801333817498,NA,14.117477720639354,NA,11.056009261811209,6.540757142536554,6.0873552278013285,2.9026061470929383,4.351066308943348,4.43686907189237,7.106963151635174,7.3524101417842385,NA,NA,NA,18.53141131495477,6.080307351115838,6.004713445197741,NA,14.877164942148308,NA,11.056009261811209,6.185683740766274,22.887407421802646,12.318821098460678,5.312053716558296,5.690462761773032,0.47047896014272794,3.104952005927464,64.08391192223765,NA,NA,29.324953192981134,9.120177212004545,8.558522962947473,NA,NA,NA,11.056009261811209,19.294962794802736,19.193274727135158,22.168534202105537,-0.1686108256020269,4.08718313979656,-0.06818337884695413,0.2777960016777965,NA,NA,NA,63.9992059162542,6.89399142977326,6.893124111363639,NA,NA,NA
