Estadisticos,EDAD_POR_ANNIO_MATRICULA_2019,PROM_NOTA_SEM1_2019,PROM_NOTA_SEM2_2019,PROMEDIO_ANUAL_2019,NUMEROCURSOSINSCRITOS_S1_2019,NUMEROCURSOSAPROBADOS_S1_2019,NUMEROCURSOSINSCRITOS_S2_2019,NUMEROCURSOSAPROBADOS_S2_2019,DEUDA_ARA_2019,DEUDA_COB_2019,DEUDA_CUA_2019,DEUDA_DAA_2019,DEUDA_MAT_2019,TOTAL_DEUDA_2019,CANT_COLACIONES_2019,CANT_ALMUERZOS_2019,CANT_CENAS_2019,EDAD_POR_ANNIO_MATRICULA_2020,PROM_NOTA_SEM1_2020,PROM_NOTA_SEM2_2020,PROMEDIO_ANUAL_2020,NUMEROCURSOSINSCRITOS_S1_2020,NUMEROCURSOSAPROBADOS_S1_2020,NUMEROCURSOSINSCRITOS_S2_2020,NUMEROCURSOSAPROBADOS_S2_2020,DEUDA_ARA_2020,DEUDA_COB_2020,DEUDA_CUA_2020,DEUDA_DAA_2020,DEUDA_MAT_2020,TOTAL_DEUDA_2020,CANT_COLACIONES_2020,CANT_ALMUERZOS_2020,CANT_CENAS_2020,EDAD_POR_ANNIO_MATRICULA_2021,PROM_NOTA_SEM1_2021,PROM_NOTA_SEM2_2021,PROMEDIO_ANUAL_2021,NUMEROCURSOSINSCRITOS_S1_2021,NUMEROCURSOSAPROBADOS_S1_2021,NUMEROCURSOSINSCRITOS_S2_2021,NUMEROCURSOSAPROBADOS_S2_2021,DEUDA_ARA_2021,DEUDA_COB_2021,DEUDA_CUA_2021,DEUDA_DAA_2021,DEUDA_MAT_2021,TOTAL_DEUDA_2021,CANT_COLACIONES_2021,CANT_ALMUERZOS_2021,CANT_CENAS_2021
promedio,19.387096774193548,5.1427868852459016,5.662105263157895,5.331967213114754,5.934426229508197,5.426229508196721,5.947368421052632,5.9298245614035086,12661.290322580646,0,0,13135.629032258064,370974.46774193546,396771.3870967742,0,7.467741935483871,0,20.387096774193548,6.064655172413793,6.067719298245614,6.06,6.964912280701754,6.912280701754386,5.303571428571429,5.285714285714286,11688.822580645161,0,0,22001.322580645163,265968.67741935485,299658.82258064515,0,0,0,21.387096774193548,5.773392857142857,6.007818181818182,5.89125,3.482142857142857,3.4285714285714284,6.036363636363636,6.0181818181818185,10645.161290322581,0,0,347.5483870967742,376874.27419354836,387866.98387096776,0,0,0
mediana,19,5.23,5.68,5.44,6,6,6,6,0,0,0,0,0,0,0,0,0,20,6.1,6.08,6.095,7,7,5,5,0,0,0,0,0,0,0,0,0,21,5.8149999999999995,6.13,5.965,3,3,6,6,0,0,0,0,0,0,0,0,0
des.Estandar,1.2591284874302051,0.744688147588284,0.6668120768737333,0.7982685840244731,0.30923844408570295,1.1896640477244353,0.8111071056538127,0.923109054128783,51629.81206037594,0,0,91580.21912880422,799112.6489554609,804388.6594901369,0,41.60458586874,0,1.2591284874302051,0.25862128049942584,0.24229569850450186,0.23213728545463272,1.0344928412495136,1.005000031172458,0.5016207497934836,0.4941212848641962,57759.29480278951,0,0,133870.7393066804,832149.8110334711,845127.5960657574,0,0,0,1.2591284874302051,0.3412185478584032,0.5358298890820389,0.3559676313170266,0.68731550062733,0.6566344730280548,0.8380673614673837,0.9524025971566368,58781.92450349184,0,0,1466.1405192581203,841085.732880515,849406.6132463914,0,0,0
min,18,1.24,1,1.24,5,0,1,0,0,0,0,0,0,0,0,0,0,19,5.35,5.13,5.4,3,3,4,4,0,0,0,0,0,0,0,0,0,20,4.92,2.5,4.04,3,2,1,0,0,0,0,0,0,0,0,0,0
max,24,6.13,6.22,6.1,7,6,9,9,314000,0,0,719400,3349090,3349090,0,262,0,25,6.5,6.45,6.44,8,8,6,6,320000,0,0,997457,3939100,3939100,0,0,0,26,6.8,6.43,6.62,5,5,7,7,330000,0,0,7800,3688000,3688000,0,0,0
1rd.qt,19,5,5.55,5.29,6,5,6,6,0,0,0,0,0,0,0,0,0,20,5.9,5.94,5.9325,7,7,5,5,0,0,0,0,0,0,0,0,0,21,5.592499999999999,5.875,5.72,3,3,6,6,0,0,0,0,0,0,0,0,0
3rd.qt,20,5.48,5.97,5.65,6,6,6,6,0,0,0,0,343300,348400,0,0,0,21,6.27,6.24,6.2,8,7,6,6,0,0,0,0,0,0,0,0,0,22,6,6.23,6.0625,4,4,6,6,0,0,0,0,0,69150,0,0,0
RIC,1,0.4800000000000004,0.41999999999999993,0.3600000000000003,0,1,0,0,0,0,0,0,343300,348400,0,0,0,1,0.3699999999999992,0.2999999999999998,0.26750000000000007,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.40750000000000064,0.3550000000000004,0.34250000000000025,1,1,0,0,0,0,0,0,0,69150,0,0,0
asimetria,1.6813624241383551,-3.494329974048635,-5.936155832554491,-3.679217931355087,-1.5821752016439738,-3.2452026114360057,-3.0632868609989217,-4.013097112426781,4.25024720280018,NA,NA,7.397655196996359,2.351317703361271,2.3375438088091287,NA,5.31116376086388,NA,1.6813624241383551,-0.6074610668000933,-1.1230585960492974,-0.5926381392136298,-1.7382261831355539,-1.7987941302731427,0.40033988893544675,0.4712374586258622,4.93084544213824,NA,NA,6.490852901749652,3.287572626940105,3.0803184582354173,NA,NA,NA,1.6813624241383551,-0.004348868803422293,-5.115218912548961,-2.501641467851614,1.0527756879645995,0.8263801624381356,-3.9580913044453228,-4.58118992508639,5.1670728993542685,NA,NA,4.177457934555719,2.2366930772678013,2.1935360500555636,NA,NA,NA
curtosis,3.0540447320038755,14.786445764681197,38.96540829877278,14.36051717832516,6.1465340126913475,11.581551379755041,24.918206463527238,29.087626994092396,18.67562324221929,NA,NA,54.05374676285932,4.560261113802544,4.611312264336337,NA,27.148045692476952,NA,3.0540447320038755,0.14880581911059787,2.3237509256271833,0.19237184175770272,3.742609079311525,4.117405575234924,-0.9027211636475627,-0.779968426936188,23.231124225979503,NA,NA,43.108460395464355,10.200387680355414,9.013212998448202,NA,NA,NA,3.0540447320038755,0.5148026930972374,30.525117870564628,10.902281961272122,-0.21396823755009464,0.02725377783571048,21.633009340313986,26.539277590327455,25.104327089836964,NA,NA,16.43264672637763,4.11714310191634,3.8659674825528265,NA,NA,NA
C.V,0.06494672730505217,0.14480245131773078,0.11776751683027452,0.14971370830282202,0.05210924057797757,0.2192432232966482,0.13638084077364993,0.1556722369388776,4.077768595851348,NA,NA,6.971894448595069,2.154090694757342,2.02733535141218,NA,5.571240440306437,NA,0.06176104922521576,0.04264402066515053,0.039931922785972955,0.03830648274828923,0.14852919886957752,0.1453934055249495,0.09458169019675111,0.09348240524457767,4.941412567800435,NA,NA,6.084667811036422,3.128751171407354,2.8202993951173054,NA,NA,NA,0.05887327769281502,0.05910191048860406,0.08918876584908192,0.060423107373991355,0.19738291300066912,0.191518387966516,0.13883646048405454,0.15825420798675233,5.521938362449233,NA,NA,4.218522006404467,2.231740902666562,2.1899430695781126,NA,NA,NA
"NA",62,61,57,61,61,61,57,57,62,62,62,62,62,62,62,62,62,62,58,57,58,57,57,56,56,62,62,62,62,62,62,62,62,62,62,56,55,56,56,56,55,55,62,62,62,62,62,62,62,62,62
