Estadisticos,EDAD_POR_ANNIO_MATRICULA_2020,PROM_NOTA_SEM1_2020,PROM_NOTA_SEM2_2020,PROMEDIO_ANUAL_2020,NUMEROCURSOSINSCRITOS_S1_2020,NUMEROCURSOSAPROBADOS_S1_2020,NUMEROCURSOSINSCRITOS_S2_2020,NUMEROCURSOSAPROBADOS_S2_2020,DEUDA_ARA_2020,DEUDA_COB_2020,DEUDA_CUA_2020,DEUDA_DAA_2020,DEUDA_MAT_2020,TOTAL_DEUDA_2020,CANT_COLACIONES_2020,CANT_ALMUERZOS_2020,CANT_CENAS_2020,EDAD_POR_ANNIO_MATRICULA_2021,PROM_NOTA_SEM1_2021,PROM_NOTA_SEM2_2021,PROMEDIO_ANUAL_2021,NUMEROCURSOSINSCRITOS_S1_2021,NUMEROCURSOSAPROBADOS_S1_2021,NUMEROCURSOSINSCRITOS_S2_2021,NUMEROCURSOSAPROBADOS_S2_2021,DEUDA_ARA_2021,DEUDA_COB_2021,DEUDA_CUA_2021,DEUDA_DAA_2021,DEUDA_MAT_2021,TOTAL_DEUDA_2021,CANT_COLACIONES_2021,CANT_ALMUERZOS_2021,CANT_CENAS_2021
promedio,19.7,5.809148936170213,6.000212765957447,5.905106382978723,6.0212765957446805,5.914893617021277,5,5,3200,0,0,5011.66,398736.62,406948.28,0,0,0,20.7,6.052391304347826,6.094130434782609,6.073043478260869,6.021739130434782,5.956521739130435,5.934782608695652,5.891304347826087,0,0,0,13065.5,312515.9,325581.4,0,0,0
mediana,19,5.9,5.92,5.94,6,6,5,5,0,0,0,0,0,0,0,0,0,20,6.09,6.175,6.115,6,6,6,6,0,0,0,0,0,0,0,0,0
des.Estandar,3.111860130113138,0.32296742188132493,0.28817634517851054,0.2863554521191658,0.3289880202740083,0.5034570589193911,0.5107539184552492,0.5107539184552492,22627.41699796952,0,0,25757.96906495985,992353.3141578543,989799.2642804108,0,0,0,3.111860130113138,0.2551878156496479,0.29630746858968815,0.25472311385953866,0.5370342606402773,0.5145233712057288,0.3267465149380397,0.4820447590820318,0,0,0,84309.25357211838,900765.8724480587,900085.6592331326,0,0,0
min,18,4.9,5.2,5.24,5,4,4,4,0,0,0,0,0,0,0,0,0,19,5.33,5.25,5.35,4,4,4,3,0,0,0,0,0,0,0,0,0
max,36,6.37,6.5,6.38,8,8,8,8,160000,0,0,159716,5227510,5227510,0,0,0,37,6.45,6.48,6.43,8,8,6,6,0,0,0,594507,4912200,4912200,0,0,0
1rd.qt,18.25,5.58,5.8,5.6899999999999995,6,6,5,5,0,0,0,0,0,0,0,0,0,19.25,5.9725,5.927499999999999,5.9725,6,6,6,6,0,0,0,0,0,0,0,0,0
3rd.qt,20,6.0600000000000005,6.220000000000001,6.15,6,6,5,5,0,0,0,0,83991,142503.75,0,0,0,21,6.2,6.315,6.26,6,6,6,6,0,0,0,0,0,402,0,0,0
RIC,1.75,0.4800000000000004,0.4200000000000008,0.46000000000000085,0,0,0,0,0,0,0,0,83991,142503.75,0,0,0,1.75,0.22750000000000004,0.38750000000000107,0.28749999999999964,0,0,0,0,0,0,0,0,0,402,0,0,0
asimetria,4.06939118597145,-0.65557224206759,-0.14362222331093408,-0.21472663406720358,3.9925699339588845,-0.16574920677081853,3.832465572522365,3.832465572522365,6.652460597403038,NA,NA,5.066690951758839,3.019555871327086,3.0209496172891814,NA,NA,NA,4.06939118597145,-1.0099766943943151,-1.1458946899098896,-1.1474292795564824,0.02149144103776461,-0.07059712808291387,-5.01484199578357,-4.955085416195204,NA,NA,NA,6.559790396584527,3.355504584473548,3.3222808000096125,NA,NA,NA
curtosis,16.964704995441927,-0.03347443062094291,-0.40017449792457693,-0.8091587894991434,26.81926664839226,8.641459467142404,23.26241134751772,23.26241134751772,43.11879999999999,NA,NA,25.495153907086546,9.85533597954347,9.88686419446482,NA,NA,NA,16.964704995441927,1.0672496401723572,0.4840524713044214,0.9353685557384646,6.6571097381637045,8.100858880140718,25.183356604968974,25.646969477130927,NA,NA,NA,42.24537930184462,12.152106665437078,12.003556607826088,NA,NA,NA
C.V,0.1579624431529512,0.05559634043300103,0.04802768775359028,0.048492852380200305,0.054637586405930715,0.08511684089644381,0.10215078369104984,0.10215078369104984,7.0710678118654755,NA,NA,5.139608246560989,2.4887438584343076,2.432248305068179,NA,NA,NA,0.15033140725184244,0.04216313896729213,0.04862177988487017,0.04194323896598933,0.08918258479946843,0.08637983604183767,0.05505618933021914,0.08182309563754045,NA,NA,NA,6.452814937975461,2.882304140199134,2.76454877100821,NA,NA,NA
"NA",50,47,47,47,47,47,47,47,50,50,50,50,50,50,50,50,50,50,46,46,46,46,46,46,46,50,50,50,50,50,50,50,50,50
