Estadisticos,EDAD_POR_ANNIO_MATRICULA_2021,PROM_NOTA_SEM1_2021,PROM_NOTA_SEM2_2021,PROMEDIO_ANUAL_2021,NUMEROCURSOSINSCRITOS_S1_2021,NUMEROCURSOSAPROBADOS_S1_2021,NUMEROCURSOSINSCRITOS_S2_2021,NUMEROCURSOSAPROBADOS_S2_2021,DEUDA_ARA_2021,DEUDA_COB_2021,DEUDA_CUA_2021,DEUDA_DAA_2021,DEUDA_MAT_2021,TOTAL_DEUDA_2021,CANT_COLACIONES_2021,CANT_ALMUERZOS_2021,CANT_CENAS_2021
promedio,20,5.830930232558139,6.1102380952380955,5.967906976744186,6,6,5.976190476190476,5.9523809523809526,0,0,0,4912.181818181818,98064.95454545454,102977.13636363637,0,0,0
mediana,19,5.83,6.16,6.02,6,6,6,6,0,0,0,0,0,0,0,0,0
des.Estandar,3.570714214271425,0.20541263875299504,0.2670844216150656,0.21744794822729724,0,0,0.1543033499620919,0.21554026870452117,0,0,0,32583.72798582976,361882.0255644774,361986.83502597234,0,0,0
min,18,5.38,5.06,5.26,6,6,5,5,0,0,0,0,0,0,0,0,0
max,38,6.17,6.52,6.35,6,6,6,6,0,0,0,216136,1758069,1758069,0,0,0
1rd.qt,19,5.7,6.005,5.84,6,6,6,6,0,0,0,0,0,0,0,0,0
3rd.qt,20,6.01,6.245,6.09,6,6,6,6,0,0,0,0,0,0,0,0,0
RIC,1,0.3099999999999996,0.2400000000000002,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
asimetria,3.8315841840146625,-0.4390640373591648,-1.4717143088646887,-0.8450644308619283,NA,NA,-6.025178427091209,-4.09770276318673,NA,NA,NA,6.187835094402739,3.990377780441511,3.9483657753798593,NA,NA,NA
curtosis,15.005232509072492,-0.6073316961090698,3.7161273192908855,0.9780307596657911,NA,NA,35.141156462585045,15.153656462585047,NA,NA,NA,37.13481404958678,14.82238242953849,14.586487106416467,NA,NA,NA
C.V,0.17853571071357127,0.03522810779076611,0.04371096796100517,0.03643621609295371,0,0,0.025819684057401832,0.036210765142359554,NA,NA,NA,6.6332495807108,3.6902278417591043,3.515215588708081,NA,NA,NA
"NA",41,43,42,43,43,43,42,42,44,44,44,44,44,44,44,44,44
