Estadisticos,EDAD_POR_ANNIO_MATRICULA_2017,PROM_NOTA_SEM1_2017,PROM_NOTA_SEM2_2017,PROMEDIO_ANUAL_2017,NUMEROCURSOSINSCRITOS_S1_2017,NUMEROCURSOSAPROBADOS_S1_2017,NUMEROCURSOSINSCRITOS_S2_2017,NUMEROCURSOSAPROBADOS_S2_2017,DEUDA_ARA_2017,DEUDA_COB_2017,DEUDA_CUA_2017,DEUDA_DAA_2017,DEUDA_MAT_2017,TOTAL_DEUDA_2017,CANT_COLACIONES_2017,CANT_ALMUERZOS_2017,CANT_CENAS_2017,EDAD_POR_ANNIO_MATRICULA_2018,PROM_NOTA_SEM1_2018,PROM_NOTA_SEM2_2018,PROMEDIO_ANUAL_2018,NUMEROCURSOSINSCRITOS_S1_2018,NUMEROCURSOSAPROBADOS_S1_2018,NUMEROCURSOSINSCRITOS_S2_2018,NUMEROCURSOSAPROBADOS_S2_2018,DEUDA_ARA_2018,DEUDA_COB_2018,DEUDA_CUA_2018,DEUDA_DAA_2018,DEUDA_MAT_2018,TOTAL_DEUDA_2018,CANT_COLACIONES_2018,CANT_ALMUERZOS_2018,CANT_CENAS_2018,EDAD_POR_ANNIO_MATRICULA_2019,PROM_NOTA_SEM1_2019,PROM_NOTA_SEM2_2019,PROMEDIO_ANUAL_2019,NUMEROCURSOSINSCRITOS_S1_2019,NUMEROCURSOSAPROBADOS_S1_2019,NUMEROCURSOSINSCRITOS_S2_2019,NUMEROCURSOSAPROBADOS_S2_2019,DEUDA_ARA_2019,DEUDA_COB_2019,DEUDA_CUA_2019,DEUDA_DAA_2019,DEUDA_MAT_2019,TOTAL_DEUDA_2019,CANT_COLACIONES_2019,CANT_ALMUERZOS_2019,CANT_CENAS_2019,EDAD_POR_ANNIO_MATRICULA_2020,PROM_NOTA_SEM1_2020,PROM_NOTA_SEM2_2020,PROMEDIO_ANUAL_2020,NUMEROCURSOSINSCRITOS_S1_2020,NUMEROCURSOSAPROBADOS_S1_2020,NUMEROCURSOSINSCRITOS_S2_2020,NUMEROCURSOSAPROBADOS_S2_2020,DEUDA_ARA_2020,DEUDA_COB_2020,DEUDA_CUA_2020,DEUDA_DAA_2020,DEUDA_MAT_2020,TOTAL_DEUDA_2020,CANT_COLACIONES_2020,CANT_ALMUERZOS_2020,CANT_CENAS_2020,EDAD_POR_ANNIO_MATRICULA_2021,PROM_NOTA_SEM1_2021,PROM_NOTA_SEM2_2021,PROMEDIO_ANUAL_2021,NUMEROCURSOSINSCRITOS_S1_2021,NUMEROCURSOSAPROBADOS_S1_2021,NUMEROCURSOSINSCRITOS_S2_2021,NUMEROCURSOSAPROBADOS_S2_2021,DEUDA_ARA_2021,DEUDA_COB_2021,DEUDA_CUA_2021,DEUDA_DAA_2021,DEUDA_MAT_2021,TOTAL_DEUDA_2021,CANT_COLACIONES_2021,CANT_ALMUERZOS_2021,CANT_CENAS_2021
promedio,20.768421052631577,4.655257731958763,4.308229166666667,4.452142857142857,5.117021276595745,4.404255319148936,4.78494623655914,3.6559139784946235,18181.838383838385,0,0,72923.51515151515,216274.78787878787,307380.1414141414,0,5.161616161616162,0,21.768421052631577,4.180967741935484,3.707093023255814,3.9280645161290324,4.898876404494382,3.4269662921348316,5.289156626506024,3.180722891566265,19434.383838383837,0,0,70626.87878787878,186798.56565656565,276859.82828282827,0,1.9494949494949494,0,22.768421052631577,3.94625,4.5396,4.152625,5.3875,3.775,5.1866666666666665,4.586666666666667,17444.444444444445,0,0,81462.42424242424,87156.78787878787,186063.65656565657,0,0.5959595959595959,0,23.768421052631577,4.882535211267606,4.853661971830986,4.845277777777778,5.845070422535211,5.507042253521127,6.014084507042254,5.394366197183099,8686.868686868687,0,0,45547.454545454544,104577.42424242424,158811.74747474748,0,0,0,24.768421052631577,4.640714285714286,4.500606060606061,4.564929577464789,5.571428571428571,4.957142857142857,3.772727272727273,2.984848484848485,9191.919191919193,0,0,6497.151515151515,195141.44444444444,210830.51515151514,0,0,0
mediana,20,4.84,4.390000000000001,4.505,5,5,5,4,0,0,0,0,0,0,0,0,0,21,4.28,3.83,4.1,5,4,6,3,0,0,0,0,0,0,0,0,0,22,4.05,4.63,4.305,6,4,5,5,0,0,0,0,0,0,0,0,0,23,5.03,5.18,5.03,6,6,6,6,0,0,0,0,0,0,0,0,0,24,4.98,4.93,4.88,6,6,4,3,0,0,0,0,0,0,0,0,0
des.Estandar,2.3854730187022293,0.9529921003339792,0.8820538171809637,0.8187458979199985,0.8405884137096281,1.4833785103873283,0.9983623804662553,1.3062943244480114,62855.34141488515,0,0,261494.45341608065,556795.1615779705,631424.8952584973,0,28.687160987532977,0,2.3854730187022293,1.0321000799510982,1.1404280582091764,1.0181924073578246,1.0340228569240968,1.5067095428708683,1.3208471088377587,1.9886542717421665,68987.02449436313,0,0,252605.96009972435,500352.8681977118,586404.8270643308,0,19.39722983450279,0,2.3854730187022293,1.0293974826155299,0.7455769396735477,0.912191329794303,1.2169036241131617,1.8757277068859828,1.4583712993770985,1.7560192492121502,70530.23989204223,0,0,332611.86192483257,373905.4225385889,526222.5473129539,0,5.929723110029351,0,2.3854730187022293,0.7686959612781323,1.0182691749611477,0.8249130935399096,1.564315343838901,1.7555889482825962,1.5628998482352225,2.080376842507397,48078.30484987675,0,0,305865.2715970684,465651.0343883504,582393.9759527461,0,0,0,2.3854730187022293,1.147996769965374,1.3858370187089977,1.212394175929166,1.790242705361309,2.169857500735697,1.6342060367742406,1.7844837585089657,49886.130903119745,0,0,45406.00089720311,551670.1725611947,569376.3093567572,0,0,0
min,18,1,1.08,1,2,0,2,0,0,0,0,0,0,0,0,0,0,19,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,20,1,1.87,1,2,0,2,0,0,0,0,0,0,0,0,0,0,21,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,22,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
max,32,6.33,6.5,6.05,7,6,7,6,288002,0,0,1904834,2771308,3333630,0,197,0,33,6.04,6.04,5.89,7,6,9,7,296001,0,0,1642229,2840591,2840591,0,193,0,34,6.22,5.88,5.94,8,7,10,9,314000,0,0,2457311,2900243,3151711,0,59,0,35,6.01,6.08,5.97,9,9,9,8,320000,0,0,2940846,3212100,3212100,0,0,0,36,5.92,6.13,5.86,9,9,7,7,330000,0,0,438000,2573200,2903200,0,0,0
1rd.qt,19,4.36,3.9725,4.1875,5,4,4,3,0,0,0,0,0,0,0,0,0,20,3.5,3.135,3.26,4,2,5,2,0,0,0,0,0,0,0,0,0,21,3.3899999999999997,4.140000000000001,3.7474999999999996,5,2,4,3,0,0,0,0,0,0,0,0,0,22,4.6850000000000005,4.765000000000001,4.6175,5,5,5,4,0,0,0,0,0,0,0,0,0,23,4.6325,4.2075000000000005,4.475,5,4,2,2,0,0,0,0,0,0,0,0,0
3rd.qt,22,5.18,4.785,4.9375,6,5,6,5,0,0,0,0,158450,315434.5,0,0,0,23,4.92,4.5600000000000005,4.64,6,5,6,5,0,0,0,0,0,287032,0,0,0,24,4.552499999999999,5.0649999999999995,4.6625,6,5,6,6,0,0,0,0,0,8287,0,0,0,25,5.325,5.405,5.2925,7,7,7,7,0,0,0,0,0,0,0,0,0,26,5.275,5.4125000000000005,5.33,7,6,5,4,0,0,0,0,0,0,0,0,0
RIC,3,0.8199999999999994,0.8125,0.75,1,1,2,2,0,0,0,0,158450,315434.5,0,0,0,3,1.42,1.4250000000000007,1.38,2,3,1,3,0,0,0,0,0,287032,0,0,0,3,1.1624999999999996,0.9249999999999989,0.915,1,3,2,3,0,0,0,0,0,8287,0,0,0,3,0.6399999999999997,0.6399999999999997,0.6750000000000007,2,2,2,3,0,0,0,0,0,0,0,0,0,3,0.6425000000000001,1.205,0.8550000000000004,2,2,3,2,0,0,0,0,0,0,0,0,0
asimetria,1.658527526458172,-1.3532245786414798,-0.8266740003451871,-1.1380687970085102,-1.0786058317904568,-1.2332582339999998,-0.21518923789502628,-0.1358297088175632,3.5044535104390433,NA,NA,4.926008353831562,3.4133423768375617,2.898086388074043,NA,5.649724949287497,NA,1.658527526458172,-0.5809465741480825,-0.4823127663675167,-0.5335549947969328,-0.3492378470483379,-0.44286726132984977,-0.6593315995789893,0.028633130232435838,3.4296862458535124,NA,NA,4.314960683056632,3.0482651151819304,2.4180766764137562,NA,9.650393405913205,NA,1.658527526458172,-0.5615969290865486,-0.9065291449096673,-1.3488111762713983,-0.5525130937747117,-0.2906907417093245,0.22084709586109216,-0.17914223126358259,3.8183182438992773,NA,NA,5.310018391776732,5.659183000580399,3.9110795587207683,NA,9.650393405913201,NA,1.658527526458172,-2.38578756778713,-2.108349222117257,-2.0176763054722544,-0.8503653368924634,-0.862718177463551,-0.5763663447808157,-0.9272818946062907,5.80603482392505,NA,NA,8.681852682007356,5.004598786257088,4.291307199211238,NA,NA,NA,1.658527526458172,-1.8308816565609713,-1.3276066786298129,-1.5890856323903229,-0.7871864862324207,-0.7176561009788381,0.1948713258642832,0.2303962436529161,5.709874604718058,NA,NA,8.762327429869863,2.7020759883253955,2.7621291257412075,NA,NA,NA
curtosis,4.036102615839313,2.022234161710447,1.7462074549317501,2.720273881692971,3.0039244853342923,0.8861325445718635,-0.08606710146492125,-0.23625032279413816,11.380151792700095,NA,NA,27.050103230976585,11.724887730339196,8.603458498913202,NA,31.18748134048046,NA,4.036102615839313,0.004372682130558747,-0.2503925268838829,0.07703953827888776,0.21705870328300314,-0.6524263164027104,0.8297199840762111,-1.1620738106240678,10.416878995893734,NA,NA,19.42475746057316,9.452724143142259,5.285691173880759,NA,92.06029996939091,NA,4.036102615839313,0.7627538896488715,1.0963041774666467,2.837317720890315,0.358860768274853,-0.8317372224245934,0.40930666829268336,-0.3517051210231652,12.943818099354017,NA,NA,30.494428200688937,34.815639528521,16.34375868757628,NA,92.06029996939087,NA,4.036102615839313,8.723574546819648,4.612598832921724,5.687434611483676,0.6810818337439413,0.49426904275672934,-0.281571496091614,0.15256929479376513,33.518181422759866,NA,NA,78.33848239280614,26.067164437527136,18.211320700195635,NA,NA,NA,4.036102615839313,2.849993242500142,0.7564182693908426,1.7961691922828837,0.23483432853941943,-0.20481606372262684,-1.0497188289614965,-0.6930435361238283,32.56684155557814,NA,NA,79.55362280729733,6.146509293683199,6.951301740422409,NA,NA,NA
C.V,0.11486058630345251,0.20471306965275043,0.20473697731901763,0.18389928719525073,0.1642729956106134,0.3368057487352871,0.20864651996261063,0.3573099181578384,3.457039936663198,NA,NA,3.5858728542194735,2.5744802112118066,2.0542149936998104,NA,5.557786570970185,NA,0.10958410869280068,0.24685674314083825,0.30763405478494765,0.25920969555795814,0.21107347308771698,0.43966278464100744,0.24972735770736668,0.6252208505856054,3.5497407619432964,NA,NA,3.5766264124229914,2.678569112343317,2.1180567462654225,NA,9.9498743710662,NA,0.10477112194947379,0.2608546044005144,0.1642384658722239,0.21966619422517156,0.2258753826660161,0.49688151175787626,0.28117698574108585,0.38285303398520715,4.043134770881402,NA,NA,4.083009620914448,4.290032155138539,2.828185563080477,NA,9.9498743710662,NA,0.10036312523326475,0.15743787356703223,0.20979400314048194,0.17025093944526026,0.26762985400617345,0.31878980902318244,0.25987327687283557,0.38565732589562707,5.534595558299766,NA,NA,6.715309881737234,4.452691752178844,3.6671970758671497,NA,NA,NA,0.09631106535346867,0.24737501584600946,0.3079223109170275,0.2655888016135595,0.32132561378279906,0.4377234151340022,0.43316304589196736,0.5978473505664555,5.427172482866873,NA,NA,6.988601203360459,2.82702720650534,2.7006351948036085,NA,NA,NA
"NA",95,97,96,98,94,94,93,93,99,99,99,99,99,99,99,99,99,95,93,86,93,89,89,83,83,99,99,99,99,99,99,99,99,99,95,80,75,80,80,80,75,75,99,99,99,99,99,99,99,99,99,95,71,71,72,71,71,71,71,99,99,99,99,99,99,99,99,99,95,70,66,71,70,70,66,66,99,99,99,99,99,99,99,99,99
