Estadisticos,EDAD_POR_ANNIO_MATRICULA_2018,PROM_NOTA_SEM1_2018,PROM_NOTA_SEM2_2018,PROMEDIO_ANUAL_2018,NUMEROCURSOSINSCRITOS_S1_2018,NUMEROCURSOSAPROBADOS_S1_2018,NUMEROCURSOSINSCRITOS_S2_2018,NUMEROCURSOSAPROBADOS_S2_2018,DEUDA_ARA_2018,DEUDA_COB_2018,DEUDA_CUA_2018,DEUDA_DAA_2018,DEUDA_MAT_2018,TOTAL_DEUDA_2018,CANT_COLACIONES_2018,CANT_ALMUERZOS_2018,CANT_CENAS_2018,EDAD_POR_ANNIO_MATRICULA_2019,PROM_NOTA_SEM1_2019,PROM_NOTA_SEM2_2019,PROMEDIO_ANUAL_2019,NUMEROCURSOSINSCRITOS_S1_2019,NUMEROCURSOSAPROBADOS_S1_2019,NUMEROCURSOSINSCRITOS_S2_2019,NUMEROCURSOSAPROBADOS_S2_2019,DEUDA_ARA_2019,DEUDA_COB_2019,DEUDA_CUA_2019,DEUDA_DAA_2019,DEUDA_MAT_2019,TOTAL_DEUDA_2019,CANT_COLACIONES_2019,CANT_ALMUERZOS_2019,CANT_CENAS_2019,EDAD_POR_ANNIO_MATRICULA_2020,PROM_NOTA_SEM1_2020,PROM_NOTA_SEM2_2020,PROMEDIO_ANUAL_2020,NUMEROCURSOSINSCRITOS_S1_2020,NUMEROCURSOSAPROBADOS_S1_2020,NUMEROCURSOSINSCRITOS_S2_2020,NUMEROCURSOSAPROBADOS_S2_2020,DEUDA_ARA_2020,DEUDA_COB_2020,DEUDA_CUA_2020,DEUDA_DAA_2020,DEUDA_MAT_2020,TOTAL_DEUDA_2020,CANT_COLACIONES_2020,CANT_ALMUERZOS_2020,CANT_CENAS_2020,EDAD_POR_ANNIO_MATRICULA_2021,PROM_NOTA_SEM1_2021,PROM_NOTA_SEM2_2021,PROMEDIO_ANUAL_2021,NUMEROCURSOSINSCRITOS_S1_2021,NUMEROCURSOSAPROBADOS_S1_2021,NUMEROCURSOSINSCRITOS_S2_2021,NUMEROCURSOSAPROBADOS_S2_2021,DEUDA_ARA_2021,DEUDA_COB_2021,DEUDA_CUA_2021,DEUDA_DAA_2021,DEUDA_MAT_2021,TOTAL_DEUDA_2021,CANT_COLACIONES_2021,CANT_ALMUERZOS_2021,CANT_CENAS_2021
promedio,20.104477611940297,4.401666666666666,4.578225806451613,4.414242424242424,5.553846153846154,4.1692307692307695,5.147540983606557,4.409836065573771,12685.742857142857,0,0,15805.257142857143,265915.7571428571,294406.7571428571,0,4.1571428571428575,0,21.104477611940297,4.451904761904762,4.6352631578947365,4.515238095238095,5.819672131147541,4.836065573770492,5.571428571428571,4.964285714285714,6428.571428571428,0,0,17607.342857142856,138295.45714285714,162331.37142857144,0,7.928571428571429,0,22.104477611940297,4.8348148148148145,4.801346153846154,4.773703703703704,5.169811320754717,4.679245283018868,5.666666666666667,5.098039215686274,14857.142857142857,0,0,13400,27311.585714285713,55568.72857142857,0,0,0,23.104477611940297,4.807358490566037,4.433921568627451,4.58,6.3584905660377355,5.69811320754717,6.078431372549019,4.96078431372549,7071.428571428572,0,0,9857.4,174232.98571428572,191161.8142857143,0,0,0
mediana,20,4.5649999999999995,4.66,4.64,6,5,5,5,0,0,0,0,0,0,0,0,0,21,4.56,4.81,4.68,6,5,6,6,0,0,0,0,0,0,0,0,0,22,4.98,4.975,5.035,5,5,6,6,0,0,0,0,0,0,0,0,0,23,4.99,4.7,4.74,6,6,6,5,0,0,0,0,0,0,0,0,0
des.Estandar,2.4626564147106316,0.9566392830888338,0.8890748999290022,0.9869690363876057,0.6621642835894567,1.5768761719102935,1.1377765681915246,1.4303501806705454,54874.8535336425,0,0,97162.35227620811,832052.2383489806,834361.2622107558,0,19.9256849130628,0,2.4626564147106316,0.8836194939781766,0.8179309813337333,0.7799624828505394,1.008434376005887,1.6651359090561992,1.3599083238772565,1.7680424276509956,30669.14203710181,0,0,96758.52856674953,478523.3948121164,490313.88912271557,0,47.80343854849818,0,2.4626564147106316,0.9413393524017541,0.7907083665709559,0.8629945588850889,1.051296800963234,1.4777007205278327,0.972967967955095,1.5524806209519566,65734.26647358191,0,0,76424.83661856211,156360.85665717302,203021.2456030172,0,0,0,2.4626564147106316,0.9202239504669841,1.0971601130762503,0.9750404330866727,1.7769284174864297,2.0901316268854506,1.6228756853795299,2.0095848756768198,43841.71841171289,0,0,50081.739415491145,607046.3578003586,605648.008300112,0,0,0
min,18,1,1.3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,19,1.28,1,1.14,3,0,2,0,0,0,0,0,0,0,0,0,0,20,1,1.5,1,2,0,3,0,0,0,0,0,0,0,0,0,0,21,1,1.1,1,1,0,2,0,0,0,0,0,0,0,0,0,0
max,35,6,6.4,6.2,7,6,7,6,296001,0,0,784800,4087600,4087600,0,125,0,36,6.03,5.72,5.88,8,7,8,7,157000,0,0,626444,3018157,3018157,0,341,0,37,6.23,5.67,5.8,7,6,7,7,320000,0,0,597800,1177600,1177600,0,0,0,38,5.9,5.71,5.72,10,10,10,9,330000,0,0,366778,2964373,2964373,0,0,0
1rd.qt,19,4.205,4.262499999999999,4.17,5,4,5,4,0,0,0,0,0,0,0,0,0,20,4.07,4.33,4.215,5,4,4.75,4,0,0,0,0,0,0,0,0,0,21,4.342499999999999,4.4375,4.3475,5,4,5,4,0,0,0,0,0,0,0,0,0,22,4.54,4.05,4.21,6,4,5,4,0,0,0,0,0,0,0,0,0
3rd.qt,20.5,5.03,5.1775,5.015,6,5,6,5,0,0,0,0,0,61200,0,0,0,21.5,5.005000000000001,5.13,4.955,6,6,7,6,0,0,0,0,0,0,0,0,0,22.5,5.4275,5.357499999999999,5.35,6,6,6,6,0,0,0,0,0,0,0,0,0,23.5,5.47,5.24,5.32,7,7,7,6,0,0,0,0,0,0,0,0,0
RIC,1.5,0.8250000000000002,0.9150000000000009,0.8449999999999998,1,1,1,1,0,0,0,0,0,61200,0,0,0,1.5,0.9350000000000005,0.7999999999999998,0.7400000000000002,1,2,2.25,2,0,0,0,0,0,0,0,0,0,1.5,1.0850000000000009,0.919999999999999,1.0024999999999995,1,2,1,2,0,0,0,0,0,0,0,0,0,1.5,0.9299999999999997,1.1900000000000004,1.1100000000000003,1,3,2,2,0,0,0,0,0,0,0,0,0
asimetria,3.8029586185448276,-1.6223170852712172,-0.9614353031744927,-1.6039559193374442,-0.5123107541929983,-1.2403090464037287,-1.8206109658789058,-1.0986994249130213,4.348818902952337,NA,NA,7.181751173336398,3.2743117307685856,3.1609109265265984,NA,5.08033201143522,NA,3.8029586185448276,-1.3898792952488797,-2.0232316402559962,-1.5437932865156097,-0.026111286236851994,-1.1288376737477057,-0.48862373908463425,-0.8386859138453316,4.449530643360257,NA,NA,5.5636533206565275,4.292099850958379,3.924672071534223,NA,5.972076553470663,NA,3.8029586185448276,-1.301472018571821,-1.854468285864998,-1.8219656171530507,-0.9180897672009195,-1.0290802218479584,-1.1022436439506695,-1.3545609968417969,4.290055818242641,NA,NA,6.633839345167674,6.291641559890408,4.136409826469441,NA,NA,NA,3.8029586185448276,-1.7373825332574167,-1.402023592411024,-1.448893317810195,-0.1345903429608037,-0.41079622471124627,0.013718342767447468,-0.6142668981921255,6.372667105274429,NA,NA,5.851177918698433,3.433343663171741,3.377061490122669,NA,NA,NA
curtosis,18.789905028571916,3.2092886966710337,1.814346386661927,2.8806349344871425,-0.14662951367830912,1.0000875745123805,4.369640342837245,0.5917913537934671,18.36009579326809,NA,NA,53.221652437089155,9.736548929820657,9.16874040651393,NA,25.524638386228563,NA,18.789905028571916,3.097407657063936,5.733945663840911,4.0772846836306815,0.4533614627083673,0.6691633512934958,-0.4935624657008364,-0.25592476980758017,18.15264372358737,NA,NA,29.845458520490702,19.659672509892232,16.885697664139744,NA,35.601838833329126,NA,18.789905028571916,3.082247634403754,4.627593834423131,4.975070097296743,0.20378660564978412,0.33406135664764536,1.195985079213198,2.1826374917915077,16.91695781902311,NA,NA,46.37067255684858,40.935214782965495,17.065499119231657,NA,NA,NA,18.789905028571916,3.951140563814266,1.6528919472965748,2.173726370603311,0.870068116037352,0.6294985209895931,0.37571443384834113,-0.1527014965418929,41.45721786369367,NA,NA,36.104390127300235,10.602191198088418,10.345709128702298,NA,NA,NA
C.V,0.12249293228330536,0.217335694757024,0.19419638469472658,0.22358741127748327,0.11922625604796312,0.37821753200800395,0.2210330275786083,0.3243545019364434,4.3257106936189045,NA,NA,6.147470515537839,3.129006897857428,2.834042500613845,NA,4.793120082180055,NA,0.11668881172957024,0.19848122123801162,0.17645836999365203,0.1727400563157702,0.1732802730601665,0.34431623882179035,0.24408610941386655,0.3561524314692653,4.770755427993615,NA,NA,5.495350965321666,3.46015266660429,3.020450605497792,NA,6.029262519630401,NA,0.11140984455476863,0.1947001877956746,0.16468472408254778,0.18078092241366592,0.2033530308432533,0.31579894430635136,0.1717002296391344,0.30452504487903764,4.424421781875706,NA,NA,5.703346016310605,5.725074270418003,3.6535161199891726,NA,NA,NA,0.10658784223876765,0.19141987273735298,0.24744689234904155,0.21289092425473202,0.27945758494593703,0.3668111795527446,0.266989225659213,0.4050941844249716,6.199838967312934,NA,NA,5.0806236345782,3.4841069577710027,3.16824785621096,NA,NA,NA
"NA",67,66,62,66,65,65,61,61,70,70,70,70,70,70,70,70,70,67,63,57,63,61,61,56,56,70,70,70,70,70,70,70,70,70,67,54,52,54,53,53,51,51,70,70,70,70,70,70,70,70,70,67,53,51,53,53,53,51,51,70,70,70,70,70,70,70,70,70
