Estadisticos,EDAD_POR_ANNIO_MATRICULA_2019,PROM_NOTA_SEM1_2019,PROM_NOTA_SEM2_2019,PROMEDIO_ANUAL_2019,NUMEROCURSOSINSCRITOS_S1_2019,NUMEROCURSOSAPROBADOS_S1_2019,NUMEROCURSOSINSCRITOS_S2_2019,NUMEROCURSOSAPROBADOS_S2_2019,DEUDA_ARA_2019,DEUDA_COB_2019,DEUDA_CUA_2019,DEUDA_DAA_2019,DEUDA_MAT_2019,TOTAL_DEUDA_2019,CANT_COLACIONES_2019,CANT_ALMUERZOS_2019,CANT_CENAS_2019,EDAD_POR_ANNIO_MATRICULA_2020,PROM_NOTA_SEM1_2020,PROM_NOTA_SEM2_2020,PROMEDIO_ANUAL_2020,NUMEROCURSOSINSCRITOS_S1_2020,NUMEROCURSOSAPROBADOS_S1_2020,NUMEROCURSOSINSCRITOS_S2_2020,NUMEROCURSOSAPROBADOS_S2_2020,DEUDA_ARA_2020,DEUDA_COB_2020,DEUDA_CUA_2020,DEUDA_DAA_2020,DEUDA_MAT_2020,TOTAL_DEUDA_2020,CANT_COLACIONES_2020,CANT_ALMUERZOS_2020,CANT_CENAS_2020,EDAD_POR_ANNIO_MATRICULA_2021,PROM_NOTA_SEM1_2021,PROM_NOTA_SEM2_2021,PROMEDIO_ANUAL_2021,NUMEROCURSOSINSCRITOS_S1_2021,NUMEROCURSOSAPROBADOS_S1_2021,NUMEROCURSOSINSCRITOS_S2_2021,NUMEROCURSOSAPROBADOS_S2_2021,DEUDA_ARA_2021,DEUDA_COB_2021,DEUDA_CUA_2021,DEUDA_DAA_2021,DEUDA_MAT_2021,TOTAL_DEUDA_2021,CANT_COLACIONES_2021,CANT_ALMUERZOS_2021,CANT_CENAS_2021
promedio,19.953846153846154,4.373538461538462,4.776349206349206,4.54865671641791,5.285714285714286,4.015873015873016,5.083333333333333,4.433333333333334,19318.840579710144,0,0,55987.942028985504,280148.15942028986,355454.94202898553,0,0.5652173913043478,0,20.953846153846154,4.974038461538462,4.442352941176471,4.657924528301887,5.44,4.74,5.6938775510204085,4.73469387755102,4767.130434782609,0,0,8699.971014492754,88786.60869565218,102253.71014492754,0,0,0,21.953846153846154,4.5686,4.149555555555556,4.281,5.7,4.5,5.622222222222222,3.9555555555555557,0,0,0,2535.4057971014495,50017.30434782609,52552.710144927536,0,0,0
mediana,19,4.72,5.06,4.86,5,5,5,5,0,0,0,0,0,0,0,0,0,20,5.35,4.87,5.1,6,5,6,6,0,0,0,0,0,0,0,0,0,21,4.94,4.37,4.67,6,5,6,4,0,0,0,0,0,0,0,0,0
des.Estandar,2.034320903510933,1.2630585778790493,1.2247531701126446,1.1778368662090586,0.9743247691403358,1.8447140130834818,1.4177048372809191,1.8353096692168611,60736.28936389512,0,0,337376.8724767637,712182.3681382794,780999.9718171435,0,4.695048270344999,0,2.034320903510933,1.1752817928519745,1.2994377064488996,1.195096324554517,1.1807987611298185,1.8161407838983121,1.3102811662745815,2.1386864173685525,23732.872636612654,0,0,46751.22453821586,504221.94251353643,505144.2345534503,0,0,0,2.034320903510933,1.1352227327979405,1.0322194876609676,1.0817677331901838,1.1473127431577865,1.7985254731448816,0.960324019392529,1.664544102962451,0,0,0,12922.55974724599,251957.7596670722,253524.86534037627,0,0,0
min,18,1,1,1.03,1,0,1,0,0,0,0,0,0,0,0,0,0,19,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,20,1.05,1,1.05,2,0,3,0,0,0,0,0,0,0,0,0,0
max,26,5.98,6.35,6.08,7,6,7,7,314000,0,0,2777600,3124800,3124800,0,39,0,27,6.4,6.24,6.07,8,7,7,7,160000,0,0,356900,3028573,3028573,0,0,0,28,6.18,5.37,5.78,8,7,7,7,0,0,0,98562,1838000,1854325,0,0,0
1rd.qt,19,4.04,4.48,4.205,5,3,5,4,0,0,0,0,0,0,0,0,0,20,4.53,4.395,4.56,5,4,6,4,0,0,0,0,0,0,0,0,0,21,4.0425,3.85,3.87,5.25,4,5,3,0,0,0,0,0,0,0,0,0
3rd.qt,21,5.23,5.595000000000001,5.279999999999999,6,5,6,6,0,0,0,0,61320,235679,0,0,0,22,5.7925,5.115,5.44,6,6,6,6,0,0,0,0,0,0,0,0,0,23,5.425000000000001,4.84,4.94,6,6,6,5,0,0,0,0,0,0,0,0,0
RIC,2,1.1900000000000004,1.1150000000000002,1.0749999999999993,1,2,1,2,0,0,0,0,61320,235679,0,0,0,2,1.2625000000000002,0.7200000000000006,0.8800000000000008,1,2,0,2,0,0,0,0,0,0,0,0,0,2,1.3825000000000003,0.9899999999999998,1.0700000000000003,0.75,2,1,2,0,0,0,0,0,0,0,0,0
asimetria,1.3662926971631013,-1.242921532019948,-1.4553829383129997,-1.3753347630885193,-1.9206559979924733,-0.8724704182095732,-1.2322979923352426,-1.043988989891386,3.11045549496747,NA,NA,7.614456453659956,2.763124861439167,2.401599427686087,NA,7.948955748677744,NA,1.3662926971631013,-1.6364263148778722,-1.6981269743320275,-1.6096752467310609,-0.8800155840959327,-1.1620707858734227,-1.9406550765820294,-1.1126715061998766,5.145517012036498,NA,NA,6.360211633000079,5.489957829650751,5.384785742247227,NA,NA,NA,1.3662926971631013,-1.3648025191491509,-1.4235412720207057,-1.3773037946612674,-1.0011665691337372,-0.9178917728249419,-0.8678215257453917,-0.6540536317477728,NA,NA,NA,6.2445099512134705,5.853213282035754,5.85671820119171,NA,NA,NA
curtosis,1.2934328758773495,0.8923935888624555,1.8575986826839408,1.5546058393371025,5.994465829188366,-0.34551253188004827,1.4735068632859054,0.23640296057820187,9.215858356687745,NA,NA,58.38243190255396,6.667654870857479,4.557215299254463,NA,62.08632640201637,NA,1.2934328758773495,2.509084799662327,1.9321277460051807,1.820221335398239,1.2413141091104567,0.7304828863725579,3.6074015318732577,0.08643892513924678,27.214609899783742,NA,NA,42.61820857585198,28.582755270639296,27.775833753763223,NA,NA,NA,1.2934328758773495,1.8582204648619784,1.7443816175752556,1.4647560976509526,1.0519634396971336,0.31852133069291133,0.6338114976640132,-0.046162671977007186,NA,NA,NA,41.83860569498332,36.055405889959,36.191195349855064,NA,NA,NA
