Estadisticos,EDAD_POR_ANNIO_MATRICULA_2020,PROM_NOTA_SEM1_2020,PROM_NOTA_SEM2_2020,PROMEDIO_ANUAL_2020,NUMEROCURSOSINSCRITOS_S1_2020,NUMEROCURSOSAPROBADOS_S1_2020,NUMEROCURSOSINSCRITOS_S2_2020,NUMEROCURSOSAPROBADOS_S2_2020,DEUDA_ARA_2020,DEUDA_COB_2020,DEUDA_CUA_2020,DEUDA_DAA_2020,DEUDA_MAT_2020,TOTAL_DEUDA_2020,CANT_COLACIONES_2020,CANT_ALMUERZOS_2020,CANT_CENAS_2020,EDAD_POR_ANNIO_MATRICULA_2021,PROM_NOTA_SEM1_2021,PROM_NOTA_SEM2_2021,PROMEDIO_ANUAL_2021,NUMEROCURSOSINSCRITOS_S1_2021,NUMEROCURSOSAPROBADOS_S1_2021,NUMEROCURSOSINSCRITOS_S2_2021,NUMEROCURSOSAPROBADOS_S2_2021,DEUDA_ARA_2021,DEUDA_COB_2021,DEUDA_CUA_2021,DEUDA_DAA_2021,DEUDA_MAT_2021,TOTAL_DEUDA_2021,CANT_COLACIONES_2021,CANT_ALMUERZOS_2021,CANT_CENAS_2021
promedio,19.75438596491228,4.527321428571429,5.153191489361702,4.562321428571429,4.892857142857143,3.857142857142857,5.361702127659575,4.957446808510638,2758.6206896551726,0,0,48037.31034482759,188937.1896551724,239733.12068965516,0,0,0,20.75438596491228,4.65,3.9755555555555557,4.2192,6.163265306122449,4.857142857142857,5.7555555555555555,4.044444444444444,0,0,0,27180.206896551725,125883.56896551725,153063.77586206896,0,0,0
mediana,19,4.85,5.24,5.055,5,5,5,5,0,0,0,0,0,0,0,0,0,20,4.89,4.35,4.22,6,5,6,5,0,0,0,0,0,0,0,0,0
des.Estandar,2.029080560204424,1.470290621947584,0.977345798763558,1.5069258183725973,0.5284134548067254,1.783036953969485,0.7919577260043514,1.3014614996812761,21009.02925755561,0,0,284770.7745870079,665964.6533826994,716432.7686596531,0,0,0,2.029080560204424,1.3335494616498733,1.34136727320155,1.3114936803009718,0.9431096343018267,2.1213203435596424,1.3510190691668735,2.354449902511061,0,0,0,123411.08996298177,513247.52399047656,521239.08240225556,0,0,0
min,18,1,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,19,1,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0
max,28,6.4,6.37,6.21,6,5,7,7,160000,0,0,2141400,4431256,4431256,0,0,0,29,6.33,5.54,5.88,9,8,8,7,0,0,0,827100,3670400,3670400,0,0,0
1rd.qt,19,4.1225000000000005,4.76,4.2175,5,3,5,5,0,0,0,0,0,0,0,0,0,20,3.88,3.17,3.54,6,4,5,2,0,0,0,0,0,0,0,0,0
3rd.qt,20,5.5600000000000005,5.83,5.585000000000001,5,5,6,6,0,0,0,0,0,0,0,0,0,21,5.65,5.04,5.3075,7,6,7,6,0,0,0,0,0,0,0,0,0
RIC,1,1.4375,1.0700000000000003,1.3675000000000006,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1.7700000000000005,1.87,1.7675,1,2,2,4,0,0,0,0,0,0,0,0,0
asimetria,2.307379420068629,-1.2147432395356665,-1.8367860255847388,-1.2274935573075392,-3.75128950293647,-1.3006896272706854,0.5769601062197394,-1.486857318674268,7.226381615314388,NA,NA,6.868109941794945,4.9428942454991045,4.1315060554659615,NA,NA,NA,2.307379420068629,-1.0725306084752095,-0.8308840740133143,-0.778856350706906,-0.3193016652594734,-0.8685937525945537,-0.9142103126855026,-0.45038773633748136,NA,NA,NA,5.341580711306252,5.831108141085907,5.460008840772741,NA,NA,NA
curtosis,5.910884146568328,0.5420203972410271,5.232670037506214,0.4396608503988326,16.61781413146655,0.12115042095269413,-0.18419006117962766,4.052227972183888,51.10255648038051,NA,NA,47.37170424729202,26.748960484259953,18.98601170147843,NA,NA,NA,5.910884146568328,0.5687542316253986,-0.4952900170811043,-0.3107062281487445,1.8937428137143089,-0.18783840066638868,0.14070201917446612,-1.2383032280893296,NA,NA,NA,29.571757956289844,36.499589861777416,33.035819666204745,NA,NA,NA
C.V,0.10271544576523284,0.3247594952434217,0.18965835070969128,0.33029803839236543,0.10799691047144752,0.46226883991801465,0.14770640127858936,0.262526568605236,7.615773105863908,NA,NA,5.928116552380426,3.5247938989573497,2.9884596946748387,NA,NA,NA,0.09776634989995958,0.2867848304623383,0.3374037299836207,0.3108394198665557,0.15302109960526328,0.43674242367404403,0.23473304290544134,0.5821442066648227,NA,NA,NA,4.540476473659168,4.077160571536292,3.4053719076678344,NA,NA,NA
"NA",57,56,47,56,56,56,47,47,58,58,58,58,58,58,58,58,58,57,49,45,50,49,49,45,45,58,58,58,58,58,58,58,58,58
