Estadisticos,EDAD_POR_ANNIO_MATRICULA_2021,PROM_NOTA_SEM1_2021,PROM_NOTA_SEM2_2021,PROMEDIO_ANUAL_2021,NUMEROCURSOSINSCRITOS_S1_2021,NUMEROCURSOSAPROBADOS_S1_2021,NUMEROCURSOSINSCRITOS_S2_2021,NUMEROCURSOSAPROBADOS_S2_2021,DEUDA_ARA_2021,DEUDA_COB_2021,DEUDA_CUA_2021,DEUDA_DAA_2021,DEUDA_MAT_2021,TOTAL_DEUDA_2021,CANT_COLACIONES_2021,CANT_ALMUERZOS_2021,CANT_CENAS_2021
promedio,19.178571428571427,4.890892857142857,4.585555555555556,4.733928571428572,5.928571428571429,5.321428571428571,5.592592592592593,4.574074074074074,5892.857142857143,0,0,54813.94642857143,109181.64285714286,169888.44642857142,0,0,0
mediana,19,5.2,5.025,5.02,6,6,6,6,0,0,0,0,0,0,0,0,0
des.Estandar,1.4283766100926396,0.8384732375752192,1.42082312930916,1.0535889807034526,0.6837634587578277,1.415590372917287,0.9813067629253163,2.177083490064492,30897.295304651783,0,0,299064.4626533289,453901.9616153983,538847.7139658096,0,0,0
min,18,1.83,1.42,1.76,5,0,1,0,0,0,0,0,0,0,0,0,0
max,25,6.17,6.45,6.03,8,7,7,7,165000,0,0,2205600,2964373,2964373,0,0,0
1rd.qt,18,4.4750000000000005,4.28,4.3225,5.75,5,5,4,0,0,0,0,0,0,0,0,0
3rd.qt,20,5.4825,5.609999999999999,5.5125,6,6,6,6,0,0,0,0,0,0,0,0,0
RIC,2,1.0074999999999994,1.3299999999999992,1.1900000000000004,0.25,1,1,2,0,0,0,0,0,0,0,0,0
asimetria,2.0439298461058324,-1.2663660566914128,-1.00174089617757,-1.0210206917971627,0.4206535861728142,-1.5872197303325277,-1.9591188436464828,-1.2559803564109373,4.870274722845245,NA,NA,6.659014082098555,4.960529913248055,3.7137631838909995,NA,NA,NA
curtosis,5.022908738418865,1.6724135781349858,-0.23861825561751582,0.14818538496628664,0.21570590041572046,2.759937470368893,6.840851535295981,-0.00809025448489642,22.115445483749067,NA,NA,44.787788378982306,26.271989860965146,14.109065276420605,NA,NA,NA
C.V,0.07447773758397376,0.17143561759908094,0.3098475445549416,0.22256123319273236,0.11533359545312756,0.26601698283009423,0.1754654476753877,0.4759615727266501,5.243177385031817,NA,NA,5.455992172412593,4.157310237667882,3.171773745028417,NA,NA,NA
"NA",56,56,54,56,56,56,54,54,56,56,56,56,56,56,56,56,56
