Estadisticos,EDAD_POR_ANNIO_MATRICULA_2017,PROM_NOTA_SEM1_2017,PROM_NOTA_SEM2_2017,PROMEDIO_ANUAL_2017,NUMEROCURSOSINSCRITOS_S1_2017,NUMEROCURSOSAPROBADOS_S1_2017,NUMEROCURSOSINSCRITOS_S2_2017,NUMEROCURSOSAPROBADOS_S2_2017,DEUDA_ARA_2017,DEUDA_COB_2017,DEUDA_CUA_2017,DEUDA_DAA_2017,DEUDA_MAT_2017,TOTAL_DEUDA_2017,CANT_COLACIONES_2017,CANT_ALMUERZOS_2017,CANT_CENAS_2017,EDAD_POR_ANNIO_MATRICULA_2018,PROM_NOTA_SEM1_2018,PROM_NOTA_SEM2_2018,PROMEDIO_ANUAL_2018,NUMEROCURSOSINSCRITOS_S1_2018,NUMEROCURSOSAPROBADOS_S1_2018,NUMEROCURSOSINSCRITOS_S2_2018,NUMEROCURSOSAPROBADOS_S2_2018,DEUDA_ARA_2018,DEUDA_COB_2018,DEUDA_CUA_2018,DEUDA_DAA_2018,DEUDA_MAT_2018,TOTAL_DEUDA_2018,CANT_COLACIONES_2018,CANT_ALMUERZOS_2018,CANT_CENAS_2018,EDAD_POR_ANNIO_MATRICULA_2019,PROM_NOTA_SEM1_2019,PROM_NOTA_SEM2_2019,PROMEDIO_ANUAL_2019,NUMEROCURSOSINSCRITOS_S1_2019,NUMEROCURSOSAPROBADOS_S1_2019,NUMEROCURSOSINSCRITOS_S2_2019,NUMEROCURSOSAPROBADOS_S2_2019,DEUDA_ARA_2019,DEUDA_COB_2019,DEUDA_CUA_2019,DEUDA_DAA_2019,DEUDA_MAT_2019,TOTAL_DEUDA_2019,CANT_COLACIONES_2019,CANT_ALMUERZOS_2019,CANT_CENAS_2019,EDAD_POR_ANNIO_MATRICULA_2020,PROM_NOTA_SEM1_2020,PROM_NOTA_SEM2_2020,PROMEDIO_ANUAL_2020,NUMEROCURSOSINSCRITOS_S1_2020,NUMEROCURSOSAPROBADOS_S1_2020,NUMEROCURSOSINSCRITOS_S2_2020,NUMEROCURSOSAPROBADOS_S2_2020,DEUDA_ARA_2020,DEUDA_COB_2020,DEUDA_CUA_2020,DEUDA_DAA_2020,DEUDA_MAT_2020,TOTAL_DEUDA_2020,CANT_COLACIONES_2020,CANT_ALMUERZOS_2020,CANT_CENAS_2020,EDAD_POR_ANNIO_MATRICULA_2021,PROM_NOTA_SEM1_2021,PROM_NOTA_SEM2_2021,PROMEDIO_ANUAL_2021,NUMEROCURSOSINSCRITOS_S1_2021,NUMEROCURSOSAPROBADOS_S1_2021,NUMEROCURSOSINSCRITOS_S2_2021,NUMEROCURSOSAPROBADOS_S2_2021,DEUDA_ARA_2021,DEUDA_COB_2021,DEUDA_CUA_2021,DEUDA_DAA_2021,DEUDA_MAT_2021,TOTAL_DEUDA_2021,CANT_COLACIONES_2021,CANT_ALMUERZOS_2021,CANT_CENAS_2021
promedio,20.24705882352941,4.783072289156626,4.770125786163522,4.731197604790419,5.288343558282208,4.638036809815951,5.335483870967742,4.541935483870968,15310.356321839081,0,0,55999.04022988506,415290.3275862069,486599.724137931,0,5.511494252873563,0,21.24705882352941,4.88879746835443,4.525033112582782,4.679810126582279,5.697986577181208,4.778523489932886,5.391608391608392,4.125874125874126,14459.793103448275,0,0,50442.02298850575,342604.9942528736,407506.8103448276,0,2.67816091954023,0,22.24705882352941,4.708827586206897,5.10158273381295,4.846275862068966,5.590277777777778,4.618055555555555,5.9784172661870505,5.618705035971223,11729.885057471265,0,0,56981.65517241379,243844.8448275862,312556.3850574713,0,4.189655172413793,0,23.24705882352941,5.539481481481482,5.504814814814814,5.5052941176470584,5.866666666666666,5.681481481481481,5.666666666666667,5.311111111111111,5416.132183908046,0,0,29184.41379310345,119753.53448275862,154354.0804597701,0,0,0,24.24705882352941,5.477462686567164,5.149,5.295185185185185,4.395522388059701,4.052238805970149,3.3846153846153846,2.9461538461538463,5229.885057471264,0,0,8045.718390804598,234360.7471264368,247636.35057471265,0,0,0
mediana,19,4.99,4.82,4.88,6,5,6,5,0,0,0,0,0,0,0,0,0,20,5.18,4.78,4.95,6,5,6,5,0,0,0,0,0,0,0,0,0,21,4.9,5.23,4.87,6,5,6,6,0,0,0,0,0,0,0,0,0,22,5.73,5.66,5.665,6,6,5,5,0,0,0,0,0,0,0,0,0,23,5.71,5.625,5.64,3.5,3,3,3,0,0,0,0,0,0,0,0,0
des.Estandar,2.436924448100533,0.9555209054768048,1.0077917879577951,0.9382133767087273,1.0756790928844633,1.5823957687655272,1.1411854132722858,1.628634635217924,53950.005337949566,0,0,248427.9300209878,901736.9315260485,925738.4315643851,0,27.329447690158315,0,2.436924448100533,1.1868104005579538,1.298658217377811,1.21431245599661,1.3641386649149374,2.1048388189684233,1.107178656747525,1.9459858751536832,62991.579890409914,0,0,202033.2411490501,845924.415819195,870650.199312944,0,18.99162836734437,0,2.436924448100533,1.172270768546786,0.8710465627521454,1.0561400796372098,0.9852988928817024,1.7580843348259856,1.5154643708810391,1.8193631767427576,58511.61164330153,0,0,263543.65763847216,760205.0257188678,805740.4089081587,0,29.597564868130302,0,2.436924448100533,0.9011115180365232,1.0373141637930858,0.9385757067485153,1.2743157367838338,1.4070815135764292,1.3270998567744428,1.6274999904471497,36910.03848336788,0,0,232517.4111205141,482277.9265730048,550487.3475532084,0,0,0,2.436924448100533,1.233776942445441,1.232911000390426,1.1922754188549511,1.8230712610326776,1.8569809930929122,1.2599041146277967,1.3077677202991402,37823.04437159765,0,0,47466.34973996843,716770.0708260589,723459.4807852126,0,0,0
min,18,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,19,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,20,1,1.87,1,2,0,2,0,0,0,0,0,0,0,0,0,0,21,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,22,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
max,33,6.33,6.5,6.19,8,6,7,7,288002,0,0,1964400,4458091,4458091,0,197,0,34,6.44,6.39,6.42,9,9,9,7,444000,0,0,1642229,3891967,3891967,0,193,0,35,6.32,6.47,6.36,8,8,10,9,314000,0,0,2457311,4531600,4531600,0,242,0,36,6.62,6.75,6.68,9,9,9,8,320000,0,0,2940846,3212100,3212100,0,0,0,37,6.77,6.3,6.53,9,9,7,7,330000,0,0,438000,5001965,5001965,0,0,0
1rd.qt,19,4.5475,4.175000000000001,4.359999999999999,5,4,4.5,3,0,0,0,0,0,0,0,0,0,20,4.1425,3.725,3.8049999999999997,5,3,5,3,0,0,0,0,0,0,0,0,0,21,3.95,4.555,4.29,5,4,5,4.5,0,0,0,0,0,0,0,0,0,22,5,5.115,5.02,5,5,5,5,0,0,0,0,0,0,0,0,0,23,4.935,4.835,4.82,3,3,3,2,0,0,0,0,0,0,0,0,0
3rd.qt,21,5.344999999999999,5.58,5.42,6,6,6,6,0,0,0,0,316900,392721.75,0,0,0,22,5.907500000000001,5.66,5.7575,7,7,6,6,0,0,0,0,0,303963.75,0,0,0,23,5.68,5.79,5.72,6,6,7,7,0,0,0,0,0,102497.5,0,0,0,24,6.28,6.255,6.28,7,6,7,6,0,0,0,0,0,0,0,0,0,25,6.46,5.93,6.14,6,6,4,3,0,0,0,0,0,0,0,0,0
RIC,2,0.7974999999999985,1.4049999999999994,1.0600000000000005,1,2,1.5,3,0,0,0,0,316900,392721.75,0,0,0,2,1.7650000000000006,1.935,1.9525000000000006,2,4,1,3,0,0,0,0,0,303963.75,0,0,0,2,1.7299999999999995,1.2350000000000003,1.4299999999999997,1,2,2,2.5,0,0,0,0,0,102497.5,0,0,0,2,1.2800000000000002,1.1399999999999997,1.2600000000000007,2,1,2,1,0,0,0,0,0,0,0,0,0,2,1.5250000000000004,1.0949999999999998,1.3199999999999994,3,3,1,1,0,0,0,0,0,0,0,0,0
asimetria,2.2353933469200977,-1.6728474933759017,-1.0428512271713206,-1.3746121997457896,-1.8289568392011122,-1.4597544683483425,-0.8061477318345579,-0.5268606337788523,3.7343570291711727,NA,NA,6.003641050012874,2.384664325329802,2.164845706493882,NA,5.531187137023023,NA,2.2353933469200977,-0.7917094146224756,-0.8283797089941771,-0.7192414987100653,-0.30500462073220286,-0.33518354201384065,-0.7475625480476285,-0.654156973952335,4.595560315065175,NA,NA,5.264809285063306,2.7411159939454395,2.483059418287691,NA,7.841016337185081,NA,2.2353933469200977,-0.8332506316885092,-0.8162522214864042,-1.0783406889990008,-0.9906545264974802,-0.954033035802725,-0.3978581302085899,-0.7272534828094621,4.8342459378157825,NA,NA,6.509906271149081,3.6644988926635644,3.181434909434511,NA,7.244300652302261,NA,2.2353933469200977,-1.5020643196827066,-1.8811118608228798,-1.4595530847527631,-1.0188987354793282,-1.2314214948745053,-0.06338484319172367,-0.9267506427070379,7.606208149004975,NA,NA,11.458786743675171,4.604929461969457,4.249489056315582,NA,NA,NA,2.2353933469200977,-1.5955561152487,-1.9235373804258427,-1.7859757123120064,0.4805887111192568,0.3858682527176848,0.916696045460787,0.32555816559740003,7.761294607605083,NA,NA,7.215992017495378,3.677181834492867,3.625827927548436,NA,NA,NA
curtosis,6.805362579985575,3.269490097574101,1.5043624536045686,2.7497532423687705,4.617262389485518,1.5678471950589028,0.6739347503191158,-0.5960128128060029,13.878094612958012,NA,NA,38.91722514571657,4.7012241556613255,3.735503263965077,NA,30.364944531367414,NA,6.805362579985575,-0.07689832743901004,-0.15644608350871891,-0.23191840024352928,-0.4462012057888125,-0.8837624385181448,2.0061159713322336,-0.6729858167753591,21.36028353864409,NA,NA,30.708173510026647,6.812134148141617,5.523748556543994,NA,65.92544909726843,NA,6.805362579985575,0.32306887951956,0.5169425310322557,1.5950410166068218,2.301301437137158,0.05339907057081872,-0.25093809133244305,-0.1797935110519786,21.77913946204404,NA,NA,48.15732627723295,13.747882210245432,10.288043549827549,NA,51.96313850297588,NA,6.805362579985575,4.174969264010755,4.8436011012932365,3.3957956899216484,1.8791315706565843,2.2042995978788795,-0.1502051702185767,1.4383623757377144,59.55740738993416,NA,NA,138.77704769810984,21.465829461261013,18.005230373322867,NA,NA,NA,6.805362579985575,2.9448326307905663,3.3035922787310357,3.298845002251377,-0.8979291739313435,-0.3351277712909231,0.690123566482967,1.1908259455343693,61.426472513404136,NA,NA,54.558259965881774,15.112872702925841,14.641112246712446,NA,NA,NA
