Estadisticos,EDAD_POR_ANNIO_MATRICULA_2018,PROM_NOTA_SEM1_2018,PROM_NOTA_SEM2_2018,PROMEDIO_ANUAL_2018,NUMEROCURSOSINSCRITOS_S1_2018,NUMEROCURSOSAPROBADOS_S1_2018,NUMEROCURSOSINSCRITOS_S2_2018,NUMEROCURSOSAPROBADOS_S2_2018,DEUDA_ARA_2018,DEUDA_COB_2018,DEUDA_CUA_2018,DEUDA_DAA_2018,DEUDA_MAT_2018,TOTAL_DEUDA_2018,CANT_COLACIONES_2018,CANT_ALMUERZOS_2018,CANT_CENAS_2018,EDAD_POR_ANNIO_MATRICULA_2019,PROM_NOTA_SEM1_2019,PROM_NOTA_SEM2_2019,PROMEDIO_ANUAL_2019,NUMEROCURSOSINSCRITOS_S1_2019,NUMEROCURSOSAPROBADOS_S1_2019,NUMEROCURSOSINSCRITOS_S2_2019,NUMEROCURSOSAPROBADOS_S2_2019,DEUDA_ARA_2019,DEUDA_COB_2019,DEUDA_CUA_2019,DEUDA_DAA_2019,DEUDA_MAT_2019,TOTAL_DEUDA_2019,CANT_COLACIONES_2019,CANT_ALMUERZOS_2019,CANT_CENAS_2019,EDAD_POR_ANNIO_MATRICULA_2020,PROM_NOTA_SEM1_2020,PROM_NOTA_SEM2_2020,PROMEDIO_ANUAL_2020,NUMEROCURSOSINSCRITOS_S1_2020,NUMEROCURSOSAPROBADOS_S1_2020,NUMEROCURSOSINSCRITOS_S2_2020,NUMEROCURSOSAPROBADOS_S2_2020,DEUDA_ARA_2020,DEUDA_COB_2020,DEUDA_CUA_2020,DEUDA_DAA_2020,DEUDA_MAT_2020,TOTAL_DEUDA_2020,CANT_COLACIONES_2020,CANT_ALMUERZOS_2020,CANT_CENAS_2020,EDAD_POR_ANNIO_MATRICULA_2021,PROM_NOTA_SEM1_2021,PROM_NOTA_SEM2_2021,PROMEDIO_ANUAL_2021,NUMEROCURSOSINSCRITOS_S1_2021,NUMEROCURSOSAPROBADOS_S1_2021,NUMEROCURSOSINSCRITOS_S2_2021,NUMEROCURSOSAPROBADOS_S2_2021,DEUDA_ARA_2021,DEUDA_COB_2021,DEUDA_CUA_2021,DEUDA_DAA_2021,DEUDA_MAT_2021,TOTAL_DEUDA_2021,CANT_COLACIONES_2021,CANT_ALMUERZOS_2021,CANT_CENAS_2021
promedio,19.659420289855074,4.903888888888889,5.005737704918033,4.908888888888889,5.688,4.872,5.628099173553719,5.099173553719008,6297.886524822695,0,0,9622.95035460993,486298.70921985817,502219.5460992908,0,5.914893617021277,0,20.659420289855074,5.1154032258064515,5.063760683760684,5.068225806451613,5.9491525423728815,5.322033898305085,6.126126126126126,5.7657657657657655,3191.4893617021276,0,0,12343.893617021276,226549.51063829788,242084.89361702127,0,11.567375886524824,0,21.659420289855074,5.5959130434782605,5.574867256637168,5.557565217391304,5.125,4.857142857142857,5.963636363636364,5.636363636363637,9645.390070921985,0,0,13564.574468085106,114959.82269503546,138169.78723404257,0,0,0,22.659420289855074,5.560353982300885,5.321363636363636,5.396106194690265,4.902654867256637,4.548672566371682,4.881818181818182,4.327272727272727,3510.6382978723404,0,0,6042.9716312056735,212714.26241134753,222267.87234042553,0,0,0
mediana,19,5.1,5.245,5.18,6,5,6,6,0,0,0,0,0,0,0,0,0,20,5.24,5.27,5.24,6,6,7,6,0,0,0,0,0,0,0,0,0,21,6.05,5.83,5.8,5,5,6,6,0,0,0,0,0,0,0,0,0,22,5.85,5.785,5.72,4,4,5,4,0,0,0,0,0,0,0,0,0
des.Estandar,2.108364907028941,0.9089210942406143,0.9100975499733072,0.9437170950849388,0.6527361765131701,1.4534497339200478,1.0418911603822372,1.4047832494593009,39046.55172009288,0,0,70087.69642285159,1080912.9783314562,1082159.4321909219,0,26.517511562227845,0,2.108364907028941,1.0199995211170152,0.7892780709410936,0.8607465547556578,0.8852780491999056,1.4900315830542663,1.2585497939881376,1.6456828091317925,21771.18504997473,0,0,71581.30697542502,665691.7761845902,674693.6445481937,0,56.256847832640275,0,2.108364907028941,1.0207658765987306,0.9968146724193231,1.0096226421199714,0.9311912355242167,1.2365102219381483,1.048610025615585,1.4944992271493345,53644.48244184951,0,0,72808.81697110532,417505.7336657492,427631.69848764234,0,0,0,2.108364907028941,1.1494858549458566,1.166919002458432,1.1740995285356823,1.8896551167281799,1.8944993234289684,1.7751176117221656,1.692449996058268,30982.395236483342,0,0,37769.8439234158,622739.3062834175,621332.8991942456,0,0,0
min,18,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,19,1.28,1,1.14,3,0,2,0,0,0,0,0,0,0,0,0,0,20,1,1.5,1,2,0,3,0,0,0,0,0,0,0,0,0,0,21,1,1.1,1,1,0,2,0,0,0,0,0,0,0,0,0,0
max,35,6.13,6.4,6.2,7,7,8,7,296001,0,0,784800,4425000,4425000,0,161,0,36,6.51,6.14,6.24,8,7,8,7,157000,0,0,626444,3369136,3369136,0,341,0,37,6.8,6.7,6.74,8,8,8,8,320000,0,0,597800,2694783,2694783,0,0,0,38,6.93,6.58,6.76,10,10,10,9,330000,0,0,366778,2964373,2964373,0,0,0
1rd.qt,19,4.5225,4.5925,4.529999999999999,5,4,5,5,0,0,0,0,0,0,0,0,0,20,4.5024999999999995,4.79,4.54,6,5,5.5,5,0,0,0,0,0,0,0,0,0,21,4.98,4.98,5.035,5,5,5.25,5,0,0,0,0,0,0,0,0,0,22,4.99,4.7,4.7,4,3,3,3,0,0,0,0,0,0,0,0,0
3rd.qt,20,5.5175,5.6,5.512499999999999,6,6,6,6,0,0,0,0,152800,296001,0,0,0,21,6,5.61,5.7925,6,6,7,7,0,0,0,0,0,0,0,0,0,22,6.42,6.39,6.38,6,6,7,7,0,0,0,0,0,0,0,0,0,23,6.43,6.25,6.31,6,6,6,6,0,0,0,0,0,0,0,0,0
RIC,1,0.9950000000000001,1.0074999999999994,0.9824999999999999,1,2,1,1,0,0,0,0,152800,296001,0,0,0,1,1.4975000000000005,0.8200000000000003,1.2525000000000004,0,1,1.5,2,0,0,0,0,0,0,0,0,0,1,1.4399999999999995,1.4099999999999993,1.3449999999999998,1,1,1.75,2,0,0,0,0,0,0,0,0,0,1,1.4399999999999995,1.5499999999999998,1.6099999999999994,2,3,3,3,0,0,0,0,0,0,0,0,0
asimetria,3.84016654517298,-1.785331058563366,-1.6882742843981218,-1.7974266955109781,-1.4887132627141284,-1.5923426819556648,-1.8957625027914768,-1.6592410396288844,6.4671144311098905,NA,NA,9.814374495364008,2.187198060810191,2.1553920961304596,NA,4.564191607008061,NA,3.84016654517298,-1.0830823017365792,-1.9262158950294137,-1.2171539337381456,-0.48854852336593213,-1.5239618414193037,-1.1847161527903491,-1.3850832440184715,6.608430264580076,NA,NA,7.1780558653231825,3.3359001111339417,3.248453569459665,NA,4.791101384825757,NA,3.84016654517298,-1.305203437831755,-1.2840367320715362,-1.306810243298866,-0.578456643928883,-1.2039951572546967,-0.8745282931123481,-1.4138108503460598,5.503780341005355,NA,NA,6.202370045425787,4.34252031910989,3.967351926956894,NA,NA,NA,3.84016654517298,-1.5463393272125645,-1.4820164312677817,-1.4008373406567316,0.8077603106301708,0.5383781572464608,0.586649936672091,0.21678415990940803,9.302205322217084,NA,NA,7.493784753809117,3.1054355837938505,3.0827258661330124,NA,NA,NA
curtosis,21.394948264451244,4.5228888465368,4.015128467268898,4.058539947135303,2.480969481707575,2.5451465403108493,6.079761249878441,2.5023334527937706,42.443553180909426,NA,NA,103.60099073428428,3.4901214215481255,3.3691790768653016,NA,19.89000277391839,NA,21.394948264451244,1.509594584768453,5.708411671296542,2.4059568704539824,1.4488779424172966,2.074171810984163,0.5032084321262551,1.1068026321338387,42.15638066408538,NA,NA,53.80984133978977,10.609524181917909,10.126885335869936,NA,22.037456046098924,NA,21.394948264451244,2.2189475971855197,1.9959349420840944,2.42220243625031,1.9292961766318095,2.337534376698338,0.6610407081965053,2.539547501000505,28.803420912600526,NA,NA,40.33712754507941,19.791821516098576,16.97622182894961,NA,NA,NA,21.394948264451244,2.868210380240276,2.158045014255862,1.999157218275963,0.18574245161533254,0.7370385859811557,-0.3568619611920676,-0.30669386619176775,89.69242211132457,NA,NA,61.662660235501875,8.652377686411493,8.566627788275731,NA,NA,NA
