Estadisticos,EDAD_POR_ANNIO_MATRICULA_2020,PROM_NOTA_SEM1_2020,PROM_NOTA_SEM2_2020,PROMEDIO_ANUAL_2020,NUMEROCURSOSINSCRITOS_S1_2020,NUMEROCURSOSAPROBADOS_S1_2020,NUMEROCURSOSINSCRITOS_S2_2020,NUMEROCURSOSAPROBADOS_S2_2020,DEUDA_ARA_2020,DEUDA_COB_2020,DEUDA_CUA_2020,DEUDA_DAA_2020,DEUDA_MAT_2020,TOTAL_DEUDA_2020,CANT_COLACIONES_2020,CANT_ALMUERZOS_2020,CANT_CENAS_2020,EDAD_POR_ANNIO_MATRICULA_2021,PROM_NOTA_SEM1_2021,PROM_NOTA_SEM2_2021,PROMEDIO_ANUAL_2021,NUMEROCURSOSINSCRITOS_S1_2021,NUMEROCURSOSAPROBADOS_S1_2021,NUMEROCURSOSINSCRITOS_S2_2021,NUMEROCURSOSAPROBADOS_S2_2021,DEUDA_ARA_2021,DEUDA_COB_2021,DEUDA_CUA_2021,DEUDA_DAA_2021,DEUDA_MAT_2021,TOTAL_DEUDA_2021,CANT_COLACIONES_2021,CANT_ALMUERZOS_2021,CANT_CENAS_2021
promedio,19.72897196261682,5.112233009708738,5.5767021276595745,5.1750485436893205,5.407766990291262,4.796116504854369,5.180851063829787,4.9787234042553195,2962.962962962963,0,0,28118.027777777777,286066.55555555556,317147.5462962963,0,0,0,20.72897196261682,5.329052631578947,5.046483516483517,5.1075,6.094736842105263,5.389473684210526,5.846153846153846,4.978021978021978,0,0,0,20645.62037037037,212287.42592592593,232933.0462962963,0,0,0
mediana,19,5.55,5.8100000000000005,5.65,5,5,5,5,0,0,0,0,0,0,0,0,0,20,5.81,5.46,5.605,6,6,6,6,0,0,0,0,0,0,0,0,0
des.Estandar,2.579198696165309,1.2744894649052922,0.8335664899176933,1.3088760885841968,0.7199794823313423,1.6998225011197947,0.687253626743413,0.9835061638266741,21671.259198554933,0,0,209685.9904656929,835628.3890313267,853869.4541113193,0,0,0,2.579198696165309,1.1981990685352522,1.434559455122314,1.3358970965727783,0.7728599032238626,1.6521728880355369,0.9766504768063925,1.920520889863083,0,0,0,106857.0079873726,721550.6702973825,723329.9780545398,0,0,0
min,18,1,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,19,1,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0
max,36,6.4,6.5,6.38,8,8,8,8,160000,0,0,2141400,5227510,5227510,0,0,0,37,6.45,6.48,6.43,9,8,8,7,0,0,0,827100,4912200,4912200,0,0,0
1rd.qt,19,4.77,5.2325,4.96,5,5,5,5,0,0,0,0,0,0,0,0,0,20,4.83,4.404999999999999,4.2125,6,5,6,5,0,0,0,0,0,0,0,0,0
3rd.qt,20,5.91,6.12,5.984999999999999,6,6,5,5,0,0,0,0,0,88512,0,0,0,21,6.1,6.175,6.102499999999999,6,6,6,6,0,0,0,0,0,134,0,0,0
RIC,1,1.1400000000000006,0.8875000000000002,1.0249999999999995,1,1,0,0,0,0,0,0,0,88512,0,0,0,1,1.2699999999999996,1.7700000000000005,1.8899999999999988,0,1,0,1,0,0,0,0,0,134,0,0,0
asimetria,3.925403577745298,-1.9282031146683374,-2.4195241890887544,-1.9543595889598957,-0.92775473997957,-1.6760131436756354,1.5276334210101385,-1.5013372047449562,7.043774470071895,NA,NA,9.518223119183405,3.827164143406545,3.5805093355687005,NA,NA,NA,3.925403577745298,-1.7798908103804103,-1.2503665416046597,-1.304235621080172,-0.16049112409383273,-1.704829028830075,-1.5340608011379862,-1.4677225632704556,NA,NA,NA,5.979639259540049,4.348381086909583,4.240286859074782,NA,NA,NA
curtosis,18.461786698772197,3.2817406006619505,8.999453080739894,3.233774486350126,5.258639288529389,2.2073713604728296,3.5121979382754063,8.942338223095405,48.06001533504158,NA,NA,92.58770610827058,16.017285675507384,14.124282863174617,NA,NA,NA,18.461786698772197,2.9163709321161377,0.7164651490460803,0.9045468064601727,3.6275441244059046,2.7768654476736057,3.3256962360460305,0.8739075835874677,NA,NA,NA,36.92006165876561,20.712281152481722,19.996063552160262,NA,NA,NA
C.V,0.13073153031250026,0.24930191219470735,0.14947301663887216,0.2529205431667491,0.13313803712769887,0.3544164324197143,0.13265265074718854,0.19754183632416103,7.31404997951229,NA,NA,7.457350569637456,2.921097810292764,2.692341353678923,NA,NA,NA,0.12442482438669435,0.22484279127493573,0.28426912531004195,0.26155596604459685,0.12680775614208453,0.3065555163347188,0.16705863419056716,0.38580000215792615,NA,NA,NA,5.1757712323689145,3.3989326836020672,3.105312833690618,NA,NA,NA
"NA",107,103,94,103,103,103,94,94,108,108,108,108,108,108,108,108,108,107,95,91,96,95,95,91,91,108,108,108,108,108,108,108,108,108
