Estadisticos,EDAD_POR_ANNIO_MATRICULA_2021,PROM_NOTA_SEM1_2021,PROM_NOTA_SEM2_2021,PROMEDIO_ANUAL_2021,NUMEROCURSOSINSCRITOS_S1_2021,NUMEROCURSOSAPROBADOS_S1_2021,NUMEROCURSOSINSCRITOS_S2_2021,NUMEROCURSOSAPROBADOS_S2_2021,DEUDA_ARA_2021,DEUDA_COB_2021,DEUDA_CUA_2021,DEUDA_DAA_2021,DEUDA_MAT_2021,TOTAL_DEUDA_2021,CANT_COLACIONES_2021,CANT_ALMUERZOS_2021,CANT_CENAS_2021
promedio,19.52577319587629,5.2991919191919195,5.252604166666667,5.26989898989899,5.959595959595959,5.616161616161616,5.760416666666667,5.177083333333333,3300,0,0,32857.17,104290.3,140447.47,0,0,0
mediana,19,5.55,5.74,5.62,6,6,6,6,0,0,0,0,0,0,0,0,0
des.Estandar,2.5783262638820665,0.7949646080784348,1.3172453272617757,1.0105348098594846,0.5134753917596171,1.1130677474207857,0.7642649260518125,1.7710822838423828,23216.3735324878,0,0,225321.0204221566,413970.05381318455,468334.9586185204,0,0,0
min,18,1.83,1.42,1.76,5,0,1,0,0,0,0,0,0,0,0,0,0
max,38,6.17,6.52,6.35,8,7,7,7,165000,0,0,2205600,2964373,2964373,0,0,0
1rd.qt,18,5.09,4.93,4.905,6,6,6,5,0,0,0,0,0,0,0,0,0
3rd.qt,20,5.825,6.155000000000001,5.98,6,6,6,6,0,0,0,0,0,0,0,0,0
RIC,2,0.7350000000000003,1.2250000000000014,1.0750000000000002,0,0,0,1,0,0,0,0,0,0,0,0,0
asimetria,4.869676584369939,-1.6858790497448024,-1.6063024340598806,-1.5196642458918377,0.38338796886476467,-2.553385478028369,-2.9353918407429074,-2.1447558115243885,6.75454328732951,NA,NA,9.007234535462459,4.84332072262812,4.045358913744293,NA,NA,NA
curtosis,28.668138492361102,3.173943874035352,1.6744230982572512,1.7056474878852423,2.605520440084546,7.866942365176042,14.373166376845237,3.2368766341580306,44.06480204081632,NA,NA,83.51192633355117,25.37554185467098,17.118689320885235,NA,NA,NA
C.V,0.13204733241634659,0.15001619495971377,0.250779477277403,0.1917560112245821,0.08615943014271542,0.19819012049398885,0.13267528553521518,0.34210040090315647,7.035264706814485,NA,NA,6.857590608751655,3.9694013135755153,3.3345916349972016,NA,NA,NA
"NA",97,99,96,99,99,99,96,96,100,100,100,100,100,100,100,100,100
