Estadisticos,EDAD_POR_ANNIO_MATRICULA_2017,PROM_NOTA_SEM1_2017,PROM_NOTA_SEM2_2017,PROMEDIO_ANUAL_2017,NUMEROCURSOSINSCRITOS_S1_2017,NUMEROCURSOSAPROBADOS_S1_2017,NUMEROCURSOSINSCRITOS_S2_2017,NUMEROCURSOSAPROBADOS_S2_2017,DEUDA_ARA_2017,DEUDA_COB_2017,DEUDA_CUA_2017,DEUDA_DAA_2017,DEUDA_MAT_2017,TOTAL_DEUDA_2017,CANT_COLACIONES_2017,CANT_ALMUERZOS_2017,CANT_CENAS_2017,EDAD_POR_ANNIO_MATRICULA_2018,PROM_NOTA_SEM1_2018,PROM_NOTA_SEM2_2018,PROMEDIO_ANUAL_2018,NUMEROCURSOSINSCRITOS_S1_2018,NUMEROCURSOSAPROBADOS_S1_2018,NUMEROCURSOSINSCRITOS_S2_2018,NUMEROCURSOSAPROBADOS_S2_2018,DEUDA_ARA_2018,DEUDA_COB_2018,DEUDA_CUA_2018,DEUDA_DAA_2018,DEUDA_MAT_2018,TOTAL_DEUDA_2018,CANT_COLACIONES_2018,CANT_ALMUERZOS_2018,CANT_CENAS_2018,EDAD_POR_ANNIO_MATRICULA_2019,PROM_NOTA_SEM1_2019,PROM_NOTA_SEM2_2019,PROMEDIO_ANUAL_2019,NUMEROCURSOSINSCRITOS_S1_2019,NUMEROCURSOSAPROBADOS_S1_2019,NUMEROCURSOSINSCRITOS_S2_2019,NUMEROCURSOSAPROBADOS_S2_2019,DEUDA_ARA_2019,DEUDA_COB_2019,DEUDA_CUA_2019,DEUDA_DAA_2019,DEUDA_MAT_2019,TOTAL_DEUDA_2019,CANT_COLACIONES_2019,CANT_ALMUERZOS_2019,CANT_CENAS_2019,EDAD_POR_ANNIO_MATRICULA_2020,PROM_NOTA_SEM1_2020,PROM_NOTA_SEM2_2020,PROMEDIO_ANUAL_2020,NUMEROCURSOSINSCRITOS_S1_2020,NUMEROCURSOSAPROBADOS_S1_2020,NUMEROCURSOSINSCRITOS_S2_2020,NUMEROCURSOSAPROBADOS_S2_2020,DEUDA_ARA_2020,DEUDA_COB_2020,DEUDA_CUA_2020,DEUDA_DAA_2020,DEUDA_MAT_2020,TOTAL_DEUDA_2020,CANT_COLACIONES_2020,CANT_ALMUERZOS_2020,CANT_CENAS_2020,EDAD_POR_ANNIO_MATRICULA_2021,PROM_NOTA_SEM1_2021,PROM_NOTA_SEM2_2021,PROMEDIO_ANUAL_2021,NUMEROCURSOSINSCRITOS_S1_2021,NUMEROCURSOSAPROBADOS_S1_2021,NUMEROCURSOSINSCRITOS_S2_2021,NUMEROCURSOSAPROBADOS_S2_2021,DEUDA_ARA_2021,DEUDA_COB_2021,DEUDA_CUA_2021,DEUDA_DAA_2021,DEUDA_MAT_2021,TOTAL_DEUDA_2021,CANT_COLACIONES_2021,CANT_ALMUERZOS_2021,CANT_CENAS_2021
promedio,19.586666666666666,4.962753623188406,5.473968253968254,5.127536231884058,5.521739130434782,4.956521739130435,6.161290322580645,5.870967741935484,11520,0,0,33658.73333333333,677990.84,723169.5733333334,0,5.973333333333334,0,19.931506849315067,5.6878400000000005,5.53056,5.61024,6.358333333333333,6.208333333333333,5.825,5.616666666666666,4054.794520547945,0,0,13940.54109589041,623796.0684931506,641791.404109589,0,5.589041095890411,0,20.471153846153847,5.532780748663102,5.633370165745856,5.560160427807487,5.950549450549451,5.642857142857143,6.528409090909091,6.4602272727272725,5283.653846153846,0,0,15251.98076923077,380113.9278846154,400649.5625,0,10.620192307692308,0,21.127906976744185,6.1234782608695655,6.142794759825327,6.131391304347826,5.977973568281938,5.920704845814978,5.4734513274336285,5.420353982300885,4988.813953488372,0,0,12240.93023255814,237241.71705426357,254471.46124031008,0,0,0,21.836120401337794,6.078475836431227,6.011052631578948,6.035873605947955,4.260223048327138,4.20817843866171,4.7894736842105265,4.7406015037593985,2185.430463576159,0,0,5992.5066225165565,273387.50662251655,281565.44370860927,0,0,0
mediana,19,5.2,5.58,5.42,6,6,6,6,0,0,0,0,0,0,0,0,0,19,5.77,5.62,5.69,6,6,6,6,0,0,0,0,0,0,0,0,0,20,5.6,5.71,5.66,6,6,7,7,0,0,0,0,0,0,0,0,0,21,6.18,6.2,6.19,6,6,5,5,0,0,0,0,0,0,0,0,0,22,6.12,6.13,6.1,4,4,6,6,0,0,0,0,0,0,0,0,0
des.Estandar,2.3543710546689667,0.9365878057168808,0.7499323403514258,0.9596788767405808,1.3016809906941589,1.666581412994309,0.7932822123490495,1.0633055629751187,39329.2958685191,0,0,229864.18538864944,1169386.421771842,1172949.4244807896,0,25.610372335660628,0,2.1323696847325877,0.4479479808508875,0.557399352986418,0.45191432245361474,0.8962652043489197,1.0362815987079614,0.7294812246678163,0.8998910609449499,38653.149190865166,0,0,72420.05889608274,1185013.560803697,1186186.8433792468,0,25.81223212645554,0,2.038075869927157,0.6613734244049377,0.548099971613528,0.5971864822269964,0.528497009169734,1.0239823523538496,0.9617185645512919,1.0190235968362513,35802.211926855074,0,0,88655.85687832782,894003.3262787333,901288.5461211439,0,50.91315876302058,0,2.384106803818443,0.3724028984034902,0.41475426752302436,0.35851315216237245,1.057819321109438,1.0941774443641101,0.905147521345681,0.9685415649462419,36390.92851082051,0,0,78867.0629762574,720024.7490759391,724185.1438446578,0,0,0,2.674117743027722,0.5560363293891061,0.451843624908449,0.47399666107600624,1.3628662545076635,1.388037925084784,1.4999503467452155,1.5407686194606611,26810.3723602108,0,0,45115.411489998805,769098.499487855,770482.8643691695,0,0,0
min,18,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,18,4.53,1,2.83,3,3,3,0,0,0,0,0,0,0,0,0,0,18,1.24,1,1.24,3,0,1,0,0,0,0,0,0,0,0,0,0,18,4.44,2.5,3.75,2,1,3,1,0,0,0,0,0,0,0,0,0,18,1.2,2.5,1.2,2,0,1,0,0,0,0,0,0,0,0,0,0
max,33,6.12,6.25,6.19,8,6,7,7,144000,0,0,1964400,4458091,4458091,0,163,0,34,6.44,6.39,6.42,9,9,8,7,444000,0,0,655000,4425000,4425000,0,161,0,35,6.51,6.47,6.36,8,8,9,9,314000,0,0,812067,4531600,4531600,0,340,0,36,6.8,6.75,6.74,8,8,8,8,320000,0,0,997457,5227510,5227510,0,0,0,38,6.93,6.58,6.76,8,8,7,7,330000,0,0,594507,5001965,5001965,0,0,0
1rd.qt,18,4.9,5.36,5.05,6,4,6,6,0,0,0,0,0,0,0,0,0,19,5.45,5.4,5.41,6,6,5,5,0,0,0,0,0,0,0,0,0,19,5.23,5.51,5.38,6,5,6,6,0,0,0,0,0,0,0,0,0,20,5.97,5.98,5.96,5,5,5,5,0,0,0,0,0,0,0,0,0,20,5.83,5.87,5.94,3,3,3,3,0,0,0,0,0,0,0,0,0
3rd.qt,20,5.43,5.859999999999999,5.65,6,6,6,6,0,0,0,0,790100,961500,0,0,0,20,6.03,5.8,5.9,7,7,6,6,0,0,0,0,327500,452250,0,0,0,21,6,5.9,5.895,6,6,7,7,0,0,0,0,94365.75,280900,0,0,0,22,6.38,6.4,6.3675,7,7,6,6,0,0,0,0,0,0,0,0,0,23,6.43,6.2575,6.28,6,6,6,6,0,0,0,0,0,0,0,0,0
RIC,2,0.5299999999999994,0.4999999999999991,0.6000000000000005,0,2,0,0,0,0,0,0,790100,961500,0,0,0,1,0.5800000000000001,0.39999999999999947,0.4900000000000002,1,1,1,1,0,0,0,0,327500,452250,0,0,0,2,0.7699999999999996,0.39000000000000057,0.5149999999999997,0,1,1,1,0,0,0,0,94365.75,280900,0,0,0,2,0.41000000000000014,0.41999999999999993,0.40749999999999975,2,2,1,1,0,0,0,0,0,0,0,0,0,3,0.5999999999999996,0.3875000000000002,0.33999999999999986,3,3,3,3,0,0,0,0,0,0,0,0,0
asimetria,3.417438714737623,-2.2504390331810695,-3.724815464996524,-2.4688879886112343,-2.3533683758233264,-1.8859354863510975,-4.162531160267433,-3.5307730057245594,3.0345623374236603,NA,NA,7.924553896938095,1.5318573256456671,1.4454197860039673,NA,5.126259545541858,NA,3.2675365454326624,-0.7096945326564666,-4.638162484618133,-2.317267296165476,-0.7556227045906058,-0.8683091043252833,-0.23852797298735776,-2.4062107549162515,10.451831364469566,NA,NA,6.704393156933646,1.7581282216321505,1.7431042508888348,NA,4.632548564354617,NA,3.046760487393668,-2.65050690370674,-4.152619907407632,-3.733493320787242,-0.7250153608375888,-2.6271171397968427,-1.3640816350685319,-2.0675630980371906,7.259172941772754,NA,NA,7.460145239607362,2.601092047400044,2.541238420182277,NA,4.72022377447168,NA,2.9208613546469424,-1.3794301079710687,-3.6557686770720865,-2.027007632511761,-0.2690286899410192,-0.5499025881878008,0.5082798248328408,-0.09717787020428718,7.91734676574357,NA,NA,9.159227736447543,3.7554727120210827,3.6468735263786254,NA,NA,NA,2.7259723443853057,-3.777653493015872,-4.064330661059814,-5.166174561883425,0.3974696801785291,0.2684258171845278,-0.3753800655558423,-0.4078216857427931,12.105422950863314,NA,NA,9.804218952721593,3.3876442666466677,3.3575803170665743,NA,NA,NA
curtosis,14.162969157500338,6.024745557854157,18.223475529688837,6.752201297023529,5.198851381249796,2.8803463919095114,26.205745892652214,15.311432067751571,7.306519806763287,NA,NA,63.39462949534108,0.9190097186228519,0.6792351010683824,NA,26.53310656771658,NA,15.012669661017078,-0.03916667872608848,33.11421386302814,10.417079518765984,3.004495512103129,1.5389242728920056,1.2221562748674994,11.687332779061059,113.2656004499759,NA,NA,49.21732100215197,1.6677393214087752,1.6333953942465618,NA,20.65981581893788,NA,14.984955741854495,12.847993625144525,28.58683780053728,20.844265902725656,6.184395378425528,10.330577730049432,6.361709823533083,10.05206281439294,54.80912482288038,NA,NA,57.69911265754707,6.15898833707557,5.863676180103086,NA,21.348528443592144,NA,13.45056822412786,2.9950564868226053,26.26209579425158,9.257151167712818,0.6515860866073706,1.5176861753540294,0.04806389330632088,1.9766060430716825,63.732951561148425,NA,NA,98.97674753066116,15.600708090075607,14.878121534172923,NA,NA,NA,11.915353453488255,27.443383510011017,23.712011703866008,43.10277227056418,-1.350500931978981,-1.07271717213341,-1.4870034138136854,-1.2922441500232256,145.02150132304138,NA,NA,108.49717322193437,12.35891041383907,12.156673852158416,NA,NA,NA
