Estadisticos,EDAD_POR_ANNIO_MATRICULA_2017,PROM_NOTA_SEM1_2017,PROM_NOTA_SEM2_2017,PROMEDIO_ANUAL_2017,NUMEROCURSOSINSCRITOS_S1_2017,NUMEROCURSOSAPROBADOS_S1_2017,NUMEROCURSOSINSCRITOS_S2_2017,NUMEROCURSOSAPROBADOS_S2_2017,DEUDA_ARA_2017,DEUDA_COB_2017,DEUDA_CUA_2017,DEUDA_DAA_2017,DEUDA_MAT_2017,TOTAL_DEUDA_2017,CANT_COLACIONES_2017,CANT_ALMUERZOS_2017,CANT_CENAS_2017,EDAD_POR_ANNIO_MATRICULA_2018,PROM_NOTA_SEM1_2018,PROM_NOTA_SEM2_2018,PROMEDIO_ANUAL_2018,NUMEROCURSOSINSCRITOS_S1_2018,NUMEROCURSOSAPROBADOS_S1_2018,NUMEROCURSOSINSCRITOS_S2_2018,NUMEROCURSOSAPROBADOS_S2_2018,DEUDA_ARA_2018,DEUDA_COB_2018,DEUDA_CUA_2018,DEUDA_DAA_2018,DEUDA_MAT_2018,TOTAL_DEUDA_2018,CANT_COLACIONES_2018,CANT_ALMUERZOS_2018,CANT_CENAS_2018,EDAD_POR_ANNIO_MATRICULA_2019,PROM_NOTA_SEM1_2019,PROM_NOTA_SEM2_2019,PROMEDIO_ANUAL_2019,NUMEROCURSOSINSCRITOS_S1_2019,NUMEROCURSOSAPROBADOS_S1_2019,NUMEROCURSOSINSCRITOS_S2_2019,NUMEROCURSOSAPROBADOS_S2_2019,DEUDA_ARA_2019,DEUDA_COB_2019,DEUDA_CUA_2019,DEUDA_DAA_2019,DEUDA_MAT_2019,TOTAL_DEUDA_2019,CANT_COLACIONES_2019,CANT_ALMUERZOS_2019,CANT_CENAS_2019,EDAD_POR_ANNIO_MATRICULA_2020,PROM_NOTA_SEM1_2020,PROM_NOTA_SEM2_2020,PROMEDIO_ANUAL_2020,NUMEROCURSOSINSCRITOS_S1_2020,NUMEROCURSOSAPROBADOS_S1_2020,NUMEROCURSOSINSCRITOS_S2_2020,NUMEROCURSOSAPROBADOS_S2_2020,DEUDA_ARA_2020,DEUDA_COB_2020,DEUDA_CUA_2020,DEUDA_DAA_2020,DEUDA_MAT_2020,TOTAL_DEUDA_2020,CANT_COLACIONES_2020,CANT_ALMUERZOS_2020,CANT_CENAS_2020,EDAD_POR_ANNIO_MATRICULA_2021,PROM_NOTA_SEM1_2021,PROM_NOTA_SEM2_2021,PROMEDIO_ANUAL_2021,NUMEROCURSOSINSCRITOS_S1_2021,NUMEROCURSOSAPROBADOS_S1_2021,NUMEROCURSOSINSCRITOS_S2_2021,NUMEROCURSOSAPROBADOS_S2_2021,DEUDA_ARA_2021,DEUDA_COB_2021,DEUDA_CUA_2021,DEUDA_DAA_2021,DEUDA_MAT_2021,TOTAL_DEUDA_2021,CANT_COLACIONES_2021,CANT_ALMUERZOS_2021,CANT_CENAS_2021
promedio,20.768421052631577,4.655257731958763,4.308229166666667,4.452142857142857,5.117021276595745,4.404255319148936,4.78494623655914,3.6559139784946235,18181.838383838385,0,0,72923.51515151515,216274.78787878787,307380.1414141414,0,5.161616161616162,0,21.080246913580247,4.2725786163522015,4.072027027027027,4.129874213836478,5.175324675324675,3.74025974025974,5.229166666666667,3.701388888888889,16639.08875739645,0,0,47919.69822485207,219569,284127.78698224854,0,2.863905325443787,0,21.47136563876652,4.232932692307692,4.644051282051282,4.387761904761905,5.485294117647059,4.166666666666667,5.267015706806283,4.649214659685864,14747.899159663866,0,0,55296.05882352941,158148.85294117648,228192.81092436975,0,2.7436974789915967,0,21.926056338028168,4.806523605150215,4.810135746606335,4.719148936170213,5.369565217391305,4.747826086956522,5.720183486238532,5.08256880733945,8070.716216216216,0,0,29843.445945945947,99154.08445945945,137068.24662162163,0,0,0,22.308823529411764,4.711546762589928,4.354099616858238,4.489142857142857,5.920863309352518,5.071942446043166,5.260536398467433,4.049808429118774,4928.977272727273,0,0,17483.55681818182,137448.65056818182,159861.1846590909,0,0,0
mediana,20,4.84,4.390000000000001,4.505,5,5,5,4,0,0,0,0,0,0,0,0,0,20,4.44,4.345000000000001,4.28,5,4,5,4,0,0,0,0,0,0,0,0,0,21,4.4,4.81,4.535,6,5,5,5,0,0,0,0,0,0,0,0,0,22,5.04,5.08,5.04,5,5,6,5,0,0,0,0,0,0,0,0,0,22,4.995,4.7,4.8,6,6,6,5,0,0,0,0,0,0,0,0,0
des.Estandar,2.3854730187022293,0.9529921003339792,0.8820538171809637,0.8187458979199985,0.8405884137096281,1.4833785103873283,0.9983623804662553,1.3062943244480114,62855.34141488515,0,0,261494.45341608065,556795.1615779705,631424.8952584973,0,28.687160987532977,0,2.546409956264522,1.004316137274752,1.1251805354518931,1.0306063027006522,0.9506318289901247,1.5751551217528532,1.2443930191117218,1.8701926197909229,63435.67864313185,0,0,204531.88762925979,657197.8983708842,697559.0851347388,0,19.58921438883999,0,2.592163032821351,1.088150296563649,0.9457629317803649,0.9835869520900088,1.1029648408549892,1.8520835468996055,1.4241935833691615,1.788114829409002,58470.47918818622,0,0,286069.0800854606,525887.7654337896,605179.9124813814,0,26.408616860767477,0,2.7146033445734905,1.1063045897697288,1.0561548955088362,1.1129256696200742,1.2248998827668955,1.8113831153521538,1.255276774996596,1.8397978268360982,44864.71634985662,0,0,221211.2663129528,474230.3726222309,533294.7564405763,0,0,0,2.901821993717145,1.084833472875145,1.2875598767405578,1.143807378897549,1.3991474877365682,1.9750804499258237,1.6175521926001153,2.1107349161456463,35174.50289132603,0,0,133852.62576921307,497629.11521036277,517598.2691482424,0,0,0
min,18,1,1.08,1,2,0,2,0,0,0,0,0,0,0,0,0,0,18,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,18,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,18,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,18,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
max,32,6.33,6.5,6.05,7,6,7,6,288002,0,0,1904834,2771308,3333630,0,197,0,35,6.04,6.4,6.2,7,6,9,7,296001,0,0,1642229,4087600,4087600,0,193,0,36,6.22,6.35,6.08,8,7,10,9,314000,0,0,2777600,3124800,3151711,0,341,0,37,6.4,6.37,6.21,9,9,9,8,320000,0,0,2940846,4431256,4431256,0,0,0,38,6.33,6.45,6.03,10,10,10,9,330000,0,0,2205600,3670400,3670400,0,0,0
1rd.qt,19,4.36,3.9725,4.1875,5,4,4,3,0,0,0,0,0,0,0,0,0,20,3.74,3.3,3.65,5,3,5,2,0,0,0,0,0,0,0,0,0,20,3.6775,4.245,4.0675,5,3,4,4,0,0,0,0,0,0,0,0,0,20,4.45,4.57,4.46,5,4,5,4,0,0,0,0,0,0,0,0,0,20,4.22,3.95,4.0275,5.25,4,4,2,0,0,0,0,0,0,0,0,0
3rd.qt,22,5.18,4.785,4.9375,6,5,6,5,0,0,0,0,158450,315434.5,0,0,0,22,5,4.785,4.93,6,5,6,5,0,0,0,0,0,163200,0,0,0,22,4.95,5.245,4.9575,6,6,6,6,0,0,0,0,0,86800,0,0,0,23,5.49,5.38,5.385,6,6,6,6,0,0,0,0,0,0,0,0,0,24,5.47,5.25,5.31,7,6,6,6,0,0,0,0,0,0,0,0,0
RIC,3,0.8199999999999994,0.8125,0.75,1,1,2,2,0,0,0,0,158450,315434.5,0,0,0,2,1.2599999999999998,1.4850000000000003,1.2799999999999998,1,2,1,3,0,0,0,0,0,163200,0,0,0,2,1.2725,1,0.8899999999999997,1,3,2,2,0,0,0,0,0,86800,0,0,0,3,1.04,0.8099999999999996,0.9249999999999998,1,2,1,2,0,0,0,0,0,0,0,0,0,4,1.25,1.2999999999999998,1.2824999999999998,1.75,2,2,4,0,0,0,0,0,0,0,0,0
asimetria,1.658527526458172,-1.3532245786414798,-0.8266740003451871,-1.1380687970085102,-1.0786058317904568,-1.2332582339999998,-0.21518923789502628,-0.1358297088175632,3.5044535104390433,NA,NA,4.926008353831562,3.4133423768375617,2.898086388074043,NA,5.649724949287497,NA,2.1853883071238287,-0.9745376705299781,-0.6989463953672991,-0.9027827335284755,-0.6693485689899523,-0.7169538373601153,-1.0197818607038236,-0.43857108308475584,3.7835701785057636,NA,NA,5.331113548677948,3.6285698340925054,3.095031014853207,NA,7.707285901914438,NA,1.796717272608541,-1.0088926944381629,-1.4345047024796238,-1.3361554199143246,-0.7301266324686522,-0.6875748304388156,-0.43017037799776836,-0.6661696133149041,4.1077586130167285,NA,NA,7.298418561481469,4.042564154064016,3.355168530617585,NA,11.030510018497269,NA,1.5204152844441612,-1.7168072810663269,-1.98288936850312,-1.7699599388365663,-0.4436803168176033,-0.9362909047247108,-0.7031366426332665,-1.1108455826999255,6.117691940018565,NA,NA,10.829864299475982,6.05706631098322,5.14648395109688,NA,NA,NA,1.219117760515142,-1.5790585559628192,-1.1138119648564668,-1.281712378969483,-0.6082224509784085,-0.769092041325304,-0.5380386067989985,-0.42948521495555736,7.828903152880006,NA,NA,13.33642131884454,4.199636734692698,3.9516359946192936,NA,NA,NA
curtosis,4.036102615839313,2.022234161710447,1.7462074549317501,2.720273881692971,3.0039244853342923,0.8861325445718635,-0.08606710146492125,-0.23625032279413816,11.380151792700095,NA,NA,27.050103230976585,11.724887730339196,8.603458498913202,NA,31.18748134048046,NA,7.315882313671736,0.9844933126573756,0.20180273162853934,0.6625244121843012,0.6214046601426801,-0.2496946111923335,2.0687308678590695,-0.9411744514924592,13.127605207001082,NA,NA,30.743411187082017,13.649128640850225,9.838982706400046,NA,62.76140348508498,NA,5.887960812092672,1.1007117205161405,3.048763455944358,2.455423587570195,1.963981577477874,-0.4387522759539717,0.6430203053410879,-0.03838441442493723,16.387028709328938,NA,NA,58.318769711479305,16.456758279834112,11.040217647229323,NA,127.39748073196671,NA,4.532910966282572,3.3331868313073754,4.460302149295587,3.093038379439366,1.2304897277622127,0.69910480216179,1.2375838634603396,1.1046165523620504,37.89048633522004,NA,NA,126.86057114946573,40.26245042686179,28.59340023093896,NA,NA,NA,3.3039119258156298,2.6328341004732945,0.47249136112712353,1.1725673808525139,2.411298493878233,0.6077903276769967,0.28808202627641855,-0.8280709050172348,64.12017535530839,NA,NA,204.504047787205,18.524446196024446,16.416786572678674,NA,NA,NA
