Estadisticos,EDAD_POR_ANNIO_MATRICULA_2017,PROM_NOTA_SEM1_2017,PROM_NOTA_SEM2_2017,PROMEDIO_ANUAL_2017,NUMEROCURSOSINSCRITOS_S1_2017,NUMEROCURSOSAPROBADOS_S1_2017,NUMEROCURSOSINSCRITOS_S2_2017,NUMEROCURSOSAPROBADOS_S2_2017,DEUDA_ARA_2017,DEUDA_COB_2017,DEUDA_CUA_2017,DEUDA_DAA_2017,DEUDA_MAT_2017,TOTAL_DEUDA_2017,CANT_COLACIONES_2017,CANT_ALMUERZOS_2017,CANT_CENAS_2017,EDAD_POR_ANNIO_MATRICULA_2018,PROM_NOTA_SEM1_2018,PROM_NOTA_SEM2_2018,PROMEDIO_ANUAL_2018,NUMEROCURSOSINSCRITOS_S1_2018,NUMEROCURSOSAPROBADOS_S1_2018,NUMEROCURSOSINSCRITOS_S2_2018,NUMEROCURSOSAPROBADOS_S2_2018,DEUDA_ARA_2018,DEUDA_COB_2018,DEUDA_CUA_2018,DEUDA_DAA_2018,DEUDA_MAT_2018,TOTAL_DEUDA_2018,CANT_COLACIONES_2018,CANT_ALMUERZOS_2018,CANT_CENAS_2018,EDAD_POR_ANNIO_MATRICULA_2019,PROM_NOTA_SEM1_2019,PROM_NOTA_SEM2_2019,PROMEDIO_ANUAL_2019,NUMEROCURSOSINSCRITOS_S1_2019,NUMEROCURSOSAPROBADOS_S1_2019,NUMEROCURSOSINSCRITOS_S2_2019,NUMEROCURSOSAPROBADOS_S2_2019,DEUDA_ARA_2019,DEUDA_COB_2019,DEUDA_CUA_2019,DEUDA_DAA_2019,DEUDA_MAT_2019,TOTAL_DEUDA_2019,CANT_COLACIONES_2019,CANT_ALMUERZOS_2019,CANT_CENAS_2019,EDAD_POR_ANNIO_MATRICULA_2020,PROM_NOTA_SEM1_2020,PROM_NOTA_SEM2_2020,PROMEDIO_ANUAL_2020,NUMEROCURSOSINSCRITOS_S1_2020,NUMEROCURSOSAPROBADOS_S1_2020,NUMEROCURSOSINSCRITOS_S2_2020,NUMEROCURSOSAPROBADOS_S2_2020,DEUDA_ARA_2020,DEUDA_COB_2020,DEUDA_CUA_2020,DEUDA_DAA_2020,DEUDA_MAT_2020,TOTAL_DEUDA_2020,CANT_COLACIONES_2020,CANT_ALMUERZOS_2020,CANT_CENAS_2020,EDAD_POR_ANNIO_MATRICULA_2021,PROM_NOTA_SEM1_2021,PROM_NOTA_SEM2_2021,PROMEDIO_ANUAL_2021,NUMEROCURSOSINSCRITOS_S1_2021,NUMEROCURSOSAPROBADOS_S1_2021,NUMEROCURSOSINSCRITOS_S2_2021,NUMEROCURSOSAPROBADOS_S2_2021,DEUDA_ARA_2021,DEUDA_COB_2021,DEUDA_CUA_2021,DEUDA_DAA_2021,DEUDA_MAT_2021,TOTAL_DEUDA_2021,CANT_COLACIONES_2021,CANT_ALMUERZOS_2021,CANT_CENAS_2021
promedio,20.24705882352941,4.783072289156626,4.770125786163522,4.731197604790419,5.288343558282208,4.638036809815951,5.335483870967742,4.541935483870968,15310.356321839081,0,0,55999.04022988506,415290.3275862069,486599.724137931,0,5.511494252873563,0,20.535714285714285,4.8954929577464785,4.73985347985348,4.781443661971831,5.693430656934306,4.821167883211679,5.5,4.571969696969697,10806.368253968254,0,0,32170.628571428573,406925.0380952381,449902.03492063493,0,4.126984126984127,0,20.99310344827586,4.848303797468354,5.120292553191489,4.94,5.704663212435233,4.862694300518135,5.871934604904633,5.517711171662126,10334.080717488789,0,0,36620.793721973096,261666.19730941704,308621.0717488789,0,6.417040358744394,0,21.54612546125461,5.460734341252699,5.488311111111111,5.417677419354838,5.671772428884026,5.330415754923414,5.594594594594595,5.254504504504505,6635.462093862816,0,0,21645.884476534295,163462.04332129963,191743.38989169674,0,0,0,22.087636932707355,5.383765996343693,5.190436432637571,5.247012750455373,5.1042047531992685,4.6471663619744055,5.022770398481973,4.398481973434535,3662.079510703364,0,0,12177.292048929663,200221.6391437309,216061.01070336392,0,0,0
mediana,19,4.99,4.82,4.88,6,5,6,5,0,0,0,0,0,0,0,0,0,20,5.109999999999999,5.02,5.025,6,5,6,5,0,0,0,0,0,0,0,0,0,21,5.1,5.38,5.24,6,6,6,6,0,0,0,0,0,0,0,0,0,21,5.76,5.77,5.7,6,6,5.5,5,0,0,0,0,0,0,0,0,0,22,5.63,5.67,5.59,6,5,6,5,0,0,0,0,0,0,0,0,0
des.Estandar,2.436924448100533,0.9555209054768048,1.0077917879577951,0.9382133767087273,1.0756790928844633,1.5823957687655272,1.1411854132722858,1.628634635217924,53950.005337949566,0,0,248427.9300209878,901736.9315260485,925738.4315643851,0,27.329447690158315,0,2.424499775706551,1.070683264864301,1.1644103439256948,1.1065320161757084,1.0965282796479527,1.8339864567003592,1.082174968106802,1.7835673397301262,53688.49197733405,0,0,158404.74973100552,959327.5258847477,970566.5743874616,0,22.69002703530352,0,2.3938185132810825,1.1184184395609764,0.9230041788553274,1.0106655972649656,0.9093048668213418,1.6870190400140803,1.3760052722911345,1.725440370956734,49390.19649740115,0,0,218266.8893048503,728945.5171139461,761800.2577293521,0,39.90855926028996,0,2.591164734812605,1.057288198191286,1.0386273668770403,1.0898161933888835,1.1835549560805059,1.6080303011995138,1.0969144360298644,1.4707386628584347,41128.804334316985,0,0,170505.6346104453,604698.8109895977,631570.1998822099,0,0,0,2.8053610599623284,1.1030245149919087,1.2688277872316354,1.1725638675823833,1.6110085623720234,1.7639569591097413,1.575553952446203,1.8755576030591692,31595.023537911835,0,0,102963.87934802138,640597.8890187403,649101.262117724,0,0,0
min,18,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,18,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,18,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,18,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,18,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
max,33,6.33,6.5,6.19,8,6,7,7,288002,0,0,1964400,4458091,4458091,0,197,0,35,6.44,6.4,6.42,9,9,9,7,444000,0,0,1642229,4425000,4425000,0,193,0,36,6.51,6.47,6.36,8,8,10,9,314000,0,0,2777600,4531600,4531600,0,341,0,37,6.8,6.75,6.74,9,9,9,8,320000,0,0,2940846,5227510,5227510,0,0,0,38,6.93,6.58,6.76,10,10,10,9,330000,0,0,2205600,5001965,5001965,0,0,0
1rd.qt,19,4.5475,4.175000000000001,4.359999999999999,5,4,4.5,3,0,0,0,0,0,0,0,0,0,19,4.3075,4.18,4.235,5,4,5,4,0,0,0,0,0,0,0,0,0,19,4.28,4.755,4.43,5,4,5,5,0,0,0,0,0,0,0,0,0,20,5,5.0725,5.03,5,5,5,5,0,0,0,0,0,0,0,0,0,20,4.95,4.66,4.75,4,3,3,3,0,0,0,0,0,0,0,0,0
3rd.qt,21,5.344999999999999,5.58,5.42,6,6,6,6,0,0,0,0,316900,392721.75,0,0,0,21,5.75,5.62,5.68,6,6,6,6,0,0,0,0,81737.5,301309.5,0,0,0,22,5.665,5.74,5.69,6,6,7,7,0,0,0,0,0,155999.75,0,0,0,22,6.2,6.21,6.19,6,6,6,6,0,0,0,0,0,0,0,0,0,23,6.13,6.13,6.09,6,6,6,6,0,0,0,0,0,0,0,0,0
RIC,2,0.7974999999999985,1.4049999999999994,1.0600000000000005,1,2,1.5,3,0,0,0,0,316900,392721.75,0,0,0,2,1.4425,1.4400000000000004,1.4449999999999994,1,2,1,2,0,0,0,0,81737.5,301309.5,0,0,0,3,1.3849999999999998,0.9850000000000003,1.2600000000000007,1,2,2,2,0,0,0,0,0,155999.75,0,0,0,2,1.2000000000000002,1.1375000000000002,1.1600000000000001,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1.1799999999999997,1.4699999999999998,1.3399999999999999,2,3,3,3,0,0,0,0,0,0,0,0,0
asimetria,2.2353933469200977,-1.6728474933759017,-1.0428512271713206,-1.3746121997457896,-1.8289568392011122,-1.4597544683483425,-0.8061477318345579,-0.5268606337788523,3.7343570291711727,NA,NA,6.003641050012874,2.384664325329802,2.164845706493882,NA,5.531187137023023,NA,2.500360390087103,-1.0897434843287237,-1.186812888269687,-1.0961011517321442,-0.454565977521207,-0.6631167026522627,-1.2284159392956544,-1.0588309156075761,5.308584856408787,NA,NA,6.685805568286318,2.492848303991754,2.3588752187171846,NA,5.870740215981931,NA,2.228296321107894,-1.2444684296525554,-1.7645067493712228,-1.5079763253700302,-1.1853782702327191,-1.2931772471862855,-0.8617768267491299,-1.1453590680596193,5.051165312187553,NA,NA,9.213254007114386,3.2707457781654967,2.9896744696773303,NA,6.450844826432624,NA,2.0563930225659917,-1.9196001165175838,-1.9893321889689564,-1.8868662754078562,-0.44723587775108825,-1.1979130707328605,-0.26644872072194226,-1.2757132186900186,6.819500409679445,NA,NA,13.170981563889079,4.649999535332709,4.299183470421173,NA,NA,NA,1.8428812527900749,-1.653934349816733,-1.5552118829617032,-1.5391477221762986,-0.058857738894564866,-0.2527021077759284,-0.41879546752185554,-0.5801883113559663,9.263347941124936,NA,NA,16.27508333053509,3.8990507211586185,3.779242086356792,NA,NA,NA
curtosis,6.805362579985575,3.269490097574101,1.5043624536045686,2.7497532423687705,4.617262389485518,1.5678471950589028,0.6739347503191158,-0.5960128128060029,13.878094612958012,NA,NA,38.91722514571657,4.7012241556613255,3.735503263965077,NA,30.364944531367414,NA,9.170713995817382,1.1885476283903458,0.9696062901025586,0.9159981152090029,0.6380311679461168,-0.016339054922632545,3.422771638473198,0.17160064131366326,28.96307868055254,NA,NA,50.7492948169197,5.178948051422898,4.585060657833816,NA,35.21142459131264,NA,8.309121340297041,1.679832724346081,4.330831496280735,2.8679147161680456,4.109247586107129,1.006514248162241,1.262936643391745,1.0889690811395116,25.588242970015905,NA,NA,97.27819179279284,10.615438276193453,8.731765999789705,NA,41.780613236277844,NA,7.342135749246404,4.7964550484025645,5.327121950956807,4.375767987137763,1.1270360417353595,2.031995856788823,1.0622095680883055,2.983926100913602,47.17310340703878,NA,NA,198.10232817233023,24.014738611275355,20.471406025042736,NA,NA,NA,6.473716189369702,3.4422783958052277,1.9867027152791028,2.2669138809733216,-0.441520709121066,-0.00999047171851597,-0.5092653761986647,-0.5413847178053182,88.23970912668659,NA,NA,321.05059092254123,16.846743245318326,15.847894333577134,NA,NA,NA
C.V,0.12035942945296067,0.19977137030585976,0.21127153310737612,0.1983035702754774,0.20340567533662127,0.3411779236888637,0.2138860206253982,0.3585772279244009,3.523758964446432,NA,NA,4.436289068547447,2.171341039333173,1.9024639465310842,NA,4.958627630956775,NA,0.1180625977735364,0.21870795732022952,0.24566378451886017,0.23142215916424352,0.19259535168175582,0.3804029440847074,0.19675908511032764,0.39010917786972105,4.968227133812404,NA,NA,4.923893525403112,2.357504297045058,2.1572842509118115,NA,5.497968089323544,NA,0.11402880565892148,0.2306824172497158,0.1802639535274243,0.20458817758400114,0.1593967659368928,0.34693092671573517,0.23433593268252728,0.3127094400696896,4.779350756745696,NA,NA,5.960190021055892,2.785784043217386,2.4684000136880457,NA,6.21915353951409,NA,0.12026128500329097,0.19361648674319923,0.1892435297216177,0.20115929927748702,0.20867461995709538,0.3016707092151797,0.19606683156089363,0.2799005427814595,6.1983331006226825,NA,NA,7.877046317755495,3.699322476967982,3.2938303648378304,NA,NA,NA,0.12701046601359842,0.2048797283799132,0.24445493239320304,0.22347265450815226,0.3156238121839172,0.37957689088632124,0.3136822564938228,0.42641020569981974,8.627618118494505,NA,NA,8.45540034141429,3.199443835133531,3.0042498644463573,NA,NA,NA
"NA",170,166,159,167,163,163,155,155,174,174,174,174,174,174,174,174,174,308,284,273,284,274,274,264,264,315,315,315,315,315,315,315,315,315,435,395,376,397,386,386,367,367,446,446,446,446,446,446,446,446,446,542,463,450,465,457,457,444,444,554,554,554,554,554,554,554,554,554,639,547,527,549,547,547,527,527,654,654,654,654,654,654,654,654,654
