Estadisticos,PROM_NOTAS_E_MEDIA,PUNTAJE_NEM,PUNTAJE_RANKING,PTJE_LENGUAJE,PTJE_MATEMATICA,PTJE_HIST_CS_SOCIALES,PTJE_CIENCIAS,PROM_LENG_Y_MAT,INGRESO_BRUTO_FAMILIAR,PROMEDIO_PRIMER_ANNIO,PROMEDIO_ALUMNO_EN_CARRERA,CANT_RAMOS_INSCRITOS_CARRERA,CANT_RAMOS_APROBADOS_CARRERA,PORCENTAJE_AVANCE_CARRERA,CANT_RAMOS_OP2,CANT_RAMOS_OP3,CANT_RAMOS_OP4,PTJE_PONDERADO
promedio,5.843409893992933,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,5.7725118483412325,4.962957516339869,5.003649289099526,30.66350710900474,27.423380726698262,50.50674229978212,1.4281200631911533,0.1674565560821485,0.036334913112164295,599.0808080808081
mediana,5.88,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,6,5.24,5.36,32,25,48.21,0,0,0,599.0808080808081
des.Estandar,0.4813771102964857,98.69217102086309,122.35545396487643,79.37659594908881,75.80815852736828,68.12624517838465,77.64844186317706,69.31157463959785,2.4787839333491024,1.0404467051961481,1.1502696919196902,16.386613043817604,16.199631479499462,27.796963689685967,2.5547732264775633,0.5097927182628414,0.2034679436948838,78.92869285912812
min,4,374,374,273,212,210,257,258.5,1,1,1,0,0,1.79,0,0,0,424
max,6.9,829,850,773,719,850,727,728,12,6.38,6.43,63,59,105.36,25,3,2,914
1rd.qt,5.5,528,537,491,507,522.7393162393163,501,498,4,4.58,4.36,13,12,21.43,0,0,0,537
3rd.qt,6.2,686,736,582,591,522.7393162393163,576,584.5,7,5.66,5.9,44,43,76.79,2,0,0,647
RIC,0.7000000000000002,158,199,91,84,0,75,86.5,3,1.08,1.54,31,31,55.36000000000001,2,0,0,110
asimetria,-0.3496543494503976,-0.26251399557567306,-0.14596386722068003,-0.10159176596637463,-0.7128085010258829,0.3547009755525753,-0.5816414833535825,-0.3374485104297228,0.04601482876346718,-1.6604434010584626,-1.2259880327855734,0.10181864286999316,0.13857988463968576,0.1488443143515491,2.825125098133414,3.535574281795102,6.023534745557441,0.44197103693073353
curtosis,-0.5583271261305272,-0.8275038355061892,-1.007001464713188,0.4438416071582476,1.4185351566110755,7.9715832956845585,1.074204075126711,0.7538983370433132,-0.551400007193835,3.2106802307899835,1.2023636444858354,-1.2738601473972229,-1.1742252452909823,-1.18025247103097,13.304300409308752,13.355248601551157,39.514418684139,0.8544527638271382
C.V,0.0823794871537841,0.16304865361356571,0.19222873419049805,0.8188930390403083,0.14016232346640034,0.1303254663691599,0.14677251585786513,0.128828651831483,0.42941166661466385,0.20964247664232818,0.2298861541766243,0.5344011363594303,0.5907233554077516,0.550361445303628,1.7889064738498868,3.044328213777157,5.599791667776585,0.1317496601368036
"NA",633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633,633
