Estadisticos,PROM_NOTAS_E_MEDIA,PUNTAJE_NEM,PUNTAJE_RANKING,PTJE_LENGUAJE,PTJE_MATEMATICA,PTJE_HIST_CS_SOCIALES,PTJE_CIENCIAS,PROM_LENG_Y_MAT,INGRESO_BRUTO_FAMILIAR,PROMEDIO_PRIMER_ANNIO,PROMEDIO_ALUMNO_EN_CARRERA,CANT_RAMOS_INSCRITOS_CARRERA,CANT_RAMOS_APROBADOS_CARRERA,PORCENTAJE_AVANCE_CARRERA,CANT_RAMOS_OP2,CANT_RAMOS_OP3,CANT_RAMOS_OP4,PTJE_PONDERADO
promedio,5.5822834914140484,549.9865352682117,569.121471373908,502.841759702286,513.1893075128623,511.8590993152397,496.42159008023344,508.2000047934043,5.517543859649122,4.527224276650231,4.368040935672514,29.453216374269005,24.099415204678362,44.74391557754932,2.0584795321637426,0.27485380116959063,0.05263157894736842,558.4178923740327
mediana,5.6,545,555.5,519.5,535,522.7393162393163,529.039387308534,519,6,4.76,4.5649999999999995,26,22,40.18,1,0,0,555.5
des.Estandar,0.42970720422347314,86.69776258585362,106.47637233658138,64.55663981790426,65.59751665948173,71.24874461151578,65.05769125756203,55.81995249764949,2.284330620488459,1.0693039511068356,1.05643592073743,16.616844037109797,15.767242099069742,27.22528158364215,2.907584585404304,0.6456798519636826,0.24847117039791003,69.38276867457203
min,4,374,374,292,212,210,257,258.5,1,1,1,0,0,1.79,0,0,0,424
max,6.7,781,850,773,678,777,645,654,12,6.21,6.03,63,56,100,25,3,2,891
1rd.qt,5.2,476.5,480,462.75,484,495.25,476.25,482,4,4.2225,3.875,12,11,21.43,0,0,0,507.25
3rd.qt,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,543,522.7393162393163,529.039387308534,538.0136612021857,6,5.22,5.157500000000001,46,36,66.07,3,0,0,599.0808080808081
RIC,0.6434098939929394,128.79276895943565,156.5097001763669,72.24818181818182,59,27.48931623931628,52.789387308533946,56.013661202185745,2,0.9974999999999996,1.2825000000000006,34,25,44.63999999999999,3,0,0,91.83080808080808
asimetria,0.039069885394971214,0.17962868242007526,0.3925385740036014,-0.3687432412254069,-1.2614359805241966,-0.7864990326821436,-1.5636559823801657,-0.924324830904576,0.13266930999166038,-1.349861970170457,-1.017766415466504,0.22949940057095594,0.3142128365546629,0.2986767721615464,2.485194654410256,2.6034357663564682,5.075191536885208,0.9622318179958089
curtosis,-0.4266876725326907,-0.7079463567149156,-0.5808268863627664,1.3217936958258099,2.9502740926624966,4.588796676973186,2.2327543710510964,2.1302260424164503,-0.2639582155233975,2.0172434889080595,0.965181369758195,-1.2883128087150315,-1.1532482214593516,-1.1750898292384269,11.413490570254453,6.590934397951262,27.717474692212985,2.3613996249631724
C.V,0.07697695842290947,0.15763615475345003,0.18708900945089682,0.8443138591182148,0.12782323345237978,0.13919601059516512,0.13105330742574506,0.10983855169450787,0.4140122269247764,0.23619416352353356,0.24185577385729756,0.5641775698095454,0.6542582865665921,0.6084689109618893,1.412491375295841,2.3491756316125474,4.720952237560291,0.12424882802304427
"NA",342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342
