,RUT_ENMASCARADO,PERS_SEXO,EDAD,CODUA,ANNIO_INGRESO,RAMA_EDUCACIONAL,PROVINCIA_ESTAB_EDUC,BEA,GRUPO_DEPENDENCIA,ANNIO_EGRESO_E_MEDIA,PROM_NOTAS_E_MEDIA,PUNTAJE_NEM,PUNTAJE_RANKING,PTJE_LENGUAJE,PTJE_MATEMATICA,PTJE_HIST_CS_SOCIALES,PTJE_CIENCIAS,PROM_LENG_Y_MAT,PTJE_PONDERADO,SITUACION_EGRESO_EDUCACIONAL,INGRESO_BRUTO_FAMILIAR,PROMEDIO_PRIMER_ANNIO,PROMEDIO_ALUMNO_EN_CARRERA,CANT_RAMOS_INSCRITOS_CARRERA,CANT_RAMOS_APROBADOS_CARRERA,CANT_RAMOS_PLAN_CARRERA,PORCENTAJE_AVANCE_CARRERA,CANT_RAMOS_OP2,CANT_RAMOS_OP3,CANT_RAMOS_OP4,DESERTA
0,14792234,F,Edad 17-23,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,6.28,678.0,770.0,530.0,429.0,382.0,443.0,479.5,616.0,Prom.Año: Nac–alumno regular,2.0,4.73,5.44,48,46,56,82.14,2,0,0,0
4,15256444,F,Edad 17-23,Ingeco,2019,T3,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,5.6,545.0,589.0,422.0,482.0,465.0,529.039387308534,452.0,514.0,Prom.Año: Nac–alumno regular,2.0,4.84,5.06,36,32,56,57.14,1,0,0,0
7,15734102,F,Edad 35-39,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,5.27,5.67,48,47,56,83.93,1,0,0,0
11,15950623,F,Edad 35-39,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.58,4.58,8,5,56,8.93,2,0,0,1
16,16190380,M,Edad 35-39,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2003-2011,5.68,554.0,559.0,773.0,530.0,714.0,529.039387308534,651.5,599.0808080808081,Prom.Ant: Nac–alumno regular,8.0,5.34,5.05,56,52,56,92.86,3,0,0,0
21,16868923,M,Edad 31-34,Enfermeria,2020,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,5.64,5.64,10,10,56,17.86,0,0,0,1
23,17013140,F,Edad 17-23,Ingeco,2019,T1,OTRA PROVINCIA,BEA,Servicio Local de Educacion,Egreso media 2015-2020,6.5,736.0,830.0,415.0,426.0,455.0,529.039387308534,420.5,891.0,Prom.Año: Nac–alumno regular,6.0,2.81,2.81,7,2,56,3.57,1,0,0,1
26,17149627,M,Edad 31-34,Enfermeria,2017,T2,EL LOA,SIN BEA,Municipal,Egreso media 2003-2011,6.1,641.0,688.0,473.0,523.0,522.7393162393163,546.0,498.0,583.0,Prom.Ant: Nac–alumno regular,4.0,4.96,4.96,12,10,56,17.86,1,0,0,1
31,17489790,M,Edad 31-34,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.06,4.01,38,26,56,46.43,5,1,0,0
36,17680411,M,Edad 31-34,Enfermeria,2018,H1,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2003-2011,6.2,661.0,683.0,744.0,652.0,522.7393162393163,642.0,698.0,678.0,Prom.Ant: Nac–alumno regular,6.0,5.75,6.01,43,43,56,76.79,0,0,0,0
40,17711889,F,Edad 31-34,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.65,4.13,46,40,56,71.43,2,0,1,0
45,17991932,M,Edad 31-34,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,3.12,4.39,54,36,56,64.29,10,1,0,0
50,18061883,F,Edad 27-30,Enfermeria,2017,H1,OTRA PROVINCIA,SIN BEA,Particular Subvencionado,Egreso media 2003-2011,5.65,548.0,548.0,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,552.0,Prom.Ant: Nac–alumno regular,5.0,4.962957516339872,5.2,0,0,56,62.772061068702286,8,0,0,1
55,18069446,F,Edad 27-30,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,5.56,5.42,50,49,56,87.5,1,0,0,0
60,18069946,M,Edad 27-30,Ingeco,2020,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2003-2011,4.0,396.0,396.0,446.0,472.0,472.0,451.0,459.0,427.0,Prom.Ant: Nac–alumno regular,7.0,4.22,4.04,23,15,56,26.79,4,0,0,0
62,18289782,F,Edad 17-23,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,3.4,2.93,33,13,56,23.21,6,3,0,0
67,18290548,M,Edad 27-30,Ingeco,2017,T2,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2003-2011,5.93,607.0,685.0,436.0,568.0,460.0,529.0,502.0,566.0,Prom.Ant: Nac–alumno regular,2.0,4.96,3.84,25,16,56,28.57,1,2,0,1
72,18290649,M,Edad 27-30,Ingeco,2017,T2,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2003-2011,5.3,478.0,478.0,427.0,543.0,512.0,529.039387308534,485.0,478.0,Prom.Ant: Nac–alumno regular,3.0,5.03,5.29,56,56,56,100.0,0,0,0,0
77,18290960,F,Edad 27-30,Enfermeria,2017,H1,OTRA PROVINCIA,SIN BEA,Particular Subvencionado,Egreso media 2003-2011,6.2,661.0,680.0,639.0,602.0,522.7393162393163,574.0,620.5,639.0,Prom.Ant: Nac–alumno regular,9.0,1.0,1.0,2,0,56,62.772061068702286,0,0,0,1
82,18426738,M,Edad 27-30,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.4,3.85,45,43,56,76.79,1,0,0,0
87,18557061,M,Edad 27-30,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.12,4.73,49,45,56,80.36,2,1,0,0
92,18558150,M,Edad 27-30,Enfermeria,2017,H3,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,Egreso media 2012-2014,5.67,555.0,594.0,628.0,586.0,522.7393162393163,655.0,607.0,599.0808080808081,Otra situacion,12.0,3.0,3.0,2,0,56,62.772061068702286,0,0,0,1
97,18558544,M,Edad 27-30,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.68,5.14,53,48,56,85.71,4,0,0,0
102,18558685,F,Edad 27-30,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,3.9,4.27,57,44,56,78.57,5,1,1,0
107,18558959,M,Edad 27-30,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.37,4.51,51,45,56,80.36,3,1,0,0
112,18561364,M,Edad 27-30,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2003-2011,5.63,544.0,544.0,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,544.0,Prom.Ant: Nac–alumno regular,3.0,3.7,2.15,21,7,56,12.5,3,0,0,1
117,18562307,M,Edad 27-30,Ingeco,2020,T1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2012-2014,5.0,453.0,464.0,437.0,563.0,563.0,529.039387308534,500.0,480.0,Prom.Ant: Nac–alumno regular,4.0,4.97,4.63,22,18,56,32.14,1,0,0,0
119,18563458,M,Edad 27-30,Ingeco,2019,H1,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2012-2014,5.4,502.0,502.0,495.0,544.0,482.0,511.0,519.5,507.0,Prom.Ant: Nac–alumno regular,1.0,1.15,1.15,5,0,56,62.772061068702286,1,0,0,1
122,18563770,F,Edad 27-30,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.5,4.62,48,42,56,75.0,1,1,0,0
127,18635792,M,Edad 27-30,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.6,4.5,58,51,56,91.07,6,0,0,0
132,18710302,F,Edad 27-30,Ingeco,2017,H1,EL LOA,SIN BEA,Particular Subvencionado,Egreso media 2003-2011,5.3,476.0,476.0,571.0,514.0,522.7393162393163,535.0,542.5,511.0,Prom.Ant: Nac–alumno regular,10.0,4.69,4.3,52,41,56,73.21,6,1,0,0
137,18710695,F,Edad 27-30,Ingeco,2019,T1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2012-2014,5.2,462.0,462.0,555.0,482.0,473.0,488.0,518.5,490.0,Prom.Ant: Nac–alumno regular,10.0,5.56,2.78,9,9,56,16.07,0,0,0,1
140,18847259,F,Edad 27-30,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.58,5.45,49,42,56,75.0,2,1,1,0
145,18847868,F,Edad 27-30,Ingeco,2019,T1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2003-2011,5.08,433.0,433.0,466.0,363.0,447.0,529.039387308534,414.5,599.0808080808081,Prom.Ant: Nac–alumno regular,1.0,4.88,4.69,34,30,56,53.57,2,0,0,0
148,18848058,F,Edad 27-30,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,3.03,3.03,4,2,56,3.57,0,0,0,1
153,18881273,M,Edad 27-30,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,3.22,4.24,52,42,56,75.0,4,1,0,0
