,RUT_ENMASCARADO,PERS_SEXO,EDAD,COD_NACIONLD,CODUA,ANNIO_INGRESO,RAMA_EDUCACIONAL,REGION_ESTAB_EDUC,PROVINCIA_ESTAB_EDUC,COMUNA_ESTAB_EDUC,BEA,DIR_REGION,DIR_PROVINCIA,DIR_COMUNA,DIR_CIUDAD,GRUPO_DEPENDENCIA,ANNIO_EGRESO_E_MEDIA,PROM_NOTAS_E_MEDIA,PUNTAJE_NEM,PUNTAJE_RANKING,PTJE_LENGUAJE,PTJE_MATEMATICA,PTJE_HIST_CS_SOCIALES,PTJE_CIENCIAS,PROM_LENG_Y_MAT,PTJE_PONDERADO,LUGAR_LISTA,SITUACION_EGRESO_EDUCACIONAL,INGRESO_BRUTO_FAMILIAR,PROMEDIO_PRIMER_ANNIO,PROMEDIO_ALUMNO_EN_CARRERA,CANT_RAMOS_INSCRITOS_CARRERA,CANT_RAMOS_APROBADOS_CARRERA,CANT_RAMOS_PLAN_CARRERA,PORCENTAJE_AVANCE_CARRERA,CANT_RAMOS_OP2,CANT_RAMOS_OP3,CANT_RAMOS_OP4,DESERTA
0,14792234,F,22.0,1.0,3353,2018,H1,REGION DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,,REGION DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,3.0,2017.0,6.28,678.0,770.0,530.0,429.0,382.0,443.0,479.5,616.0,0.0,1.0,2.0,4.73,5.44,48,46,56,82.14,2,0,0,0
1,14792234,F,22.0,1.0,3353,2018,H1,REGION DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,,REGION DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,3.0,2017.0,6.28,678.0,770.0,530.0,429.0,382.0,443.0,479.5,616.0,0.0,1.0,2.0,4.73,5.44,48,46,56,82.14,2,0,0,0
2,14792234,F,22.0,1.0,3353,2018,H1,REGION DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,,REGION DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,3.0,2017.0,6.28,678.0,770.0,530.0,429.0,382.0,443.0,479.5,616.0,0.0,1.0,2.0,4.73,5.44,48,46,56,82.14,2,0,0,0
3,14792234,F,22.0,1.0,3353,2018,H1,REGION DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,,REGION DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,3.0,2017.0,6.28,678.0,770.0,530.0,429.0,382.0,443.0,479.5,616.0,0.0,1.0,2.0,4.73,5.44,48,46,56,82.14,2,0,0,0
4,15256444,F,21.0,1.0,3353,2019,T3,REGION DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,,,,,,3.0,2018.0,5.6,545.0,589.0,422.0,482.0,465.0,,452.0,514.0,53.0,1.0,2.0,4.84,5.06,36,32,56,57.14,1,0,0,0
5,15256444,F,21.0,1.0,3353,2019,T3,REGION DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,,,,,,3.0,2018.0,5.6,545.0,589.0,422.0,482.0,465.0,,452.0,514.0,53.0,1.0,2.0,4.84,5.06,36,32,56,57.14,1,0,0,0
6,15256444,F,21.0,1.0,3353,2019,T3,REGION DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,,,,,,3.0,2018.0,5.6,545.0,589.0,422.0,482.0,465.0,,452.0,514.0,53.0,1.0,2.0,4.84,5.06,36,32,56,57.14,1,0,0,0
7,15734102,F,38.0,1.0,3353,2018,,,,,,,,,,,,,,,,,,,,,,,,5.27,5.67,48,47,56,83.93,1,0,0,0
8,15734102,F,38.0,1.0,3353,2018,,,,,,,,,,,,,,,,,,,,,,,,5.27,5.67,48,47,56,83.93,1,0,0,0
9,15734102,F,38.0,1.0,3353,2018,,,,,,,,,,,,,,,,,,,,,,,,5.27,5.67,48,47,56,83.93,1,0,0,0
10,15734102,F,38.0,1.0,3353,2018,,,,,,,,,,,,,,,,,,,,,,,,5.27,5.67,48,47,56,83.93,1,0,0,0
11,15950623,F,38.0,1.0,4111,2017,,,,,,,,,,,,,,,,,,,,,,,,4.58,4.58,8,5,56,8.93,2,0,0,1
12,15950623,F,38.0,1.0,4111,2017,,,,,,,,,,,,,,,,,,,,,,,,4.58,4.58,8,5,56,8.93,2,0,0,1
13,15950623,F,38.0,1.0,4111,2017,,,,,,,,,,,,,,,,,,,,,,,,4.58,4.58,8,5,56,8.93,2,0,0,1
14,15950623,F,38.0,1.0,4111,2017,,,,,,,,,,,,,,,,,,,,,,,,4.58,4.58,8,5,56,8.93,2,0,0,1
15,15950623,F,38.0,1.0,4111,2017,,,,,,,,,,,,,,,,,,,,,,,,4.58,4.58,8,5,56,8.93,2,0,0,1
16,16190380,M,36.0,1.0,3353,2017,H1,REGION DE ANTOFAGASTA,ANTOFAGASTA,,,REGION DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,2.0,2003.0,5.68,554.0,559.0,773.0,530.0,714.0,,651.5,,0.0,5.0,8.0,5.34,5.05,56,52,56,92.86,3,0,0,0
17,16190380,M,36.0,1.0,3353,2017,H1,REGION DE ANTOFAGASTA,ANTOFAGASTA,,,REGION DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,2.0,2003.0,5.68,554.0,559.0,773.0,530.0,714.0,,651.5,,0.0,5.0,8.0,5.34,5.05,56,52,56,92.86,3,0,0,0
18,16190380,M,36.0,1.0,3353,2017,H1,REGION DE ANTOFAGASTA,ANTOFAGASTA,,,REGION DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,2.0,2003.0,5.68,554.0,559.0,773.0,530.0,714.0,,651.5,,0.0,5.0,8.0,5.34,5.05,56,52,56,92.86,3,0,0,0
19,16190380,M,36.0,1.0,3353,2017,H1,REGION DE ANTOFAGASTA,ANTOFAGASTA,,,REGION DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,2.0,2003.0,5.68,554.0,559.0,773.0,530.0,714.0,,651.5,,0.0,5.0,8.0,5.34,5.05,56,52,56,92.86,3,0,0,0
20,16190380,M,36.0,1.0,3353,2017,H1,REGION DE ANTOFAGASTA,ANTOFAGASTA,,,REGION DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,2.0,2003.0,5.68,554.0,559.0,773.0,530.0,714.0,,651.5,,0.0,5.0,8.0,5.34,5.05,56,52,56,92.86,3,0,0,0
